domain_index,orientation,z_start_um,z_end_um,length_um
0.0,1.0,0.0,0.00648901531383673,0.00648901531383673
1.0,-1.0,0.00648901531383673,15.497,15.490510984686162
2.0,1.0,15.497,17.302531579244146,1.8055315792441462
3.0,-1.0,17.302531579244146,30.994,13.691468420755854
4.0,1.0,30.994,31.01653741275273,0.02253741275272958
5.0,-1.0,31.01653741275273,46.491,15.47446258724727
6.0,1.0,46.491,46.491,0.0
7.0,-1.0,46.491,61.988,15.497
8.0,1.0,61.988,62.08569304403989,0.0976930440398931
9.0,-1.0,62.08569304403989,77.485,15.399306955960107
10.0,1.0,77.485,79.21096334827295,1.7259633482729555
11.0,-1.0,79.21096334827295,92.982,13.771036651727044
12.0,1.0,92.982,94.87863150349216,1.8966315034921593
13.0,-1.0,94.87863150349216,108.479,13.60036849650784
14.0,1.0,108.479,108.47900000766982,7.669825663469965e-09
15.0,-1.0,108.47900000766982,123.976,15.496999992330174
16.0,1.0,123.976,126.93835893883983,2.9623589388398273
17.0,-1.0,126.93835893883983,139.473,12.534641061160187
18.0,1.0,139.473,140.88412756526066,1.4111275652606423
19.0,-1.0,140.88412756526066,154.97000000000003,14.085872434739372
20.0,1.0,154.97,155.4956089669142,0.5256089669142057
21.0,-1.0,155.4956089669142,170.46699999999998,14.97139103308578
22.0,1.0,170.46699999999998,172.18689631717615,1.7198963171761648
23.0,-1.0,172.18689631717615,185.964,13.77710368282385
24.0,1.0,185.964,185.98598596310384,0.021985963103844597
25.0,-1.0,185.98598596310384,201.461,15.47501403689617
26.0,1.0,201.461,203.20054203776618,1.7395420377661708
27.0,-1.0,203.20054203776618,216.95800000000003,13.757457962233843
28.0,1.0,216.958,217.083502831005,0.12550283100500792
29.0,-1.0,217.083502831005,232.45499999999998,15.371497168994978
30.0,1.0,232.45499999999998,235.10713231846603,2.6521323184660446
31.0,-1.0,235.10713231846603,247.952,12.84486768153397
32.0,1.0,247.952,247.9640603632899,0.012060363289890574
33.0,-1.0,247.9640603632899,263.449,15.484939636710124
34.0,1.0,263.449,264.28613451334047,0.8371345133404589
35.0,-1.0,264.28613451334047,278.946,14.659865486659555
36.0,1.0,278.946,279.2489979396703,0.3029979396702629
37.0,-1.0,279.2489979396703,294.44300000000004,15.194002060329751
38.0,1.0,294.443,294.5216640378388,0.0786640378387915
39.0,-1.0,294.5216640378388,309.94,15.418335962161223
40.0,1.0,309.94,310.3417412697309,0.4017412697309055
41.0,-1.0,310.3417412697309,325.437,15.095258730269109
42.0,1.0,325.437,325.437,0.0
43.0,-1.0,325.437,340.934,15.497000000000014
44.0,1.0,340.93399999999997,341.78356965860934,0.8495696586093686
45.0,-1.0,341.78356965860934,356.431,14.647430341390645
46.0,1.0,356.431,356.43114685722315,0.00014685722317153704
47.0,-1.0,356.43114685722315,371.928,15.496853142776843
48.0,1.0,371.928,372.1697805737153,0.24178057371528894
49.0,-1.0,372.1697805737153,387.425,15.255219426284725
50.0,1.0,387.425,388.1857476502309,0.7607476502308828
51.0,-1.0,388.1857476502309,402.922,14.736252349769131
52.0,1.0,402.922,403.6143893715893,0.6923893715892859
53.0,-1.0,403.6143893715893,418.41900000000004,14.804610628410728
54.0,1.0,418.419,418.818051110461,0.3990511104610164
55.0,-1.0,418.818051110461,433.916,15.097948889538998
56.0,1.0,433.916,433.916,0.0
57.0,-1.0,433.916,449.413,15.497000000000014
58.0,1.0,449.413,449.4131851364209,0.0001851364208960149
59.0,-1.0,449.4131851364209,464.91,15.496814863579118
60.0,1.0,464.90999999999997,465.1110346756112,0.201034675611254
61.0,-1.0,465.1110346756112,480.407,15.29596532438876
62.0,1.0,480.407,480.4070488835856,4.8883585634484916e-05
63.0,-1.0,480.4070488835856,495.904,15.49695111641438
64.0,1.0,495.904,495.91452172072314,0.01052172072314761
65.0,-1.0,495.91452172072314,511.401,15.486478279276866
66.0,1.0,511.401,511.4011152994452,0.00011529944521271318
67.0,-1.0,511.4011152994452,526.898,15.496884700554801
68.0,1.0,526.898,526.898,0.0
69.0,-1.0,526.898,542.395,15.496999999999957
70.0,1.0,542.395,542.3966099342588,0.001609934258794965
71.0,-1.0,542.3966099342588,557.8919999999999,15.495390065741162
72.0,1.0,557.892,557.9418940709899,0.049894070989807915
73.0,-1.0,557.9418940709899,573.389,15.44710592901015
74.0,1.0,573.389,575.7777437313587,2.388743731358659
75.0,-1.0,575.7777437313587,588.886,13.108256268641298
76.0,1.0,588.886,600.7821968809487,11.896196880948764
77.0,-1.0,600.7821968809487,604.3829999999999,3.600803119051193
78.0,1.0,604.383,604.3830213214113,2.1321411281860492e-05
79.0,-1.0,604.3830213214113,619.88,15.496978678588675
80.0,1.0,619.88,619.8803427272724,0.00034272727236839273
81.0,-1.0,619.8803427272724,635.377,15.496657272727589
82.0,1.0,635.377,635.3772547142007,0.0002547142007642833
83.0,-1.0,635.3772547142007,650.8739999999999,15.496745285799193
84.0,1.0,650.874,650.874,0.0
85.0,-1.0,650.874,666.371,15.496999999999957
86.0,1.0,666.371,668.0358745022016,1.6648745022016556
87.0,-1.0,668.0358745022016,681.8679999999999,13.832125497798302
88.0,1.0,681.8679999999999,681.9122060581484,0.044206058148461125
89.0,-1.0,681.9122060581484,697.3649999999999,15.452793941851496
90.0,1.0,697.365,697.3650214520969,2.1452096916618757e-05
91.0,-1.0,697.3650214520969,712.862,15.49697854790304
92.0,1.0,712.862,728.2793744812399,15.417374481239904
93.0,-1.0,728.2793744812399,728.3589999999999,0.07962551876005364
