period_index,position_mm,duty_cycle
0,0.0,0.00041872719325267664
1,0.015497,0.11650845836253114
2,0.030994,0.0014543081081970963
3,0.046491,0.0
4,0.061988,0.0063039971633150746
5,0.077485,0.11137403034606404
6,0.092982,0.12238701061445206
7,0.108479,4.949232252527129e-10
8,0.123976,0.1911569296534698
9,0.139473,0.09105811223208662
10,0.15497,0.03391682047584776
11,0.17046699999999998,0.11098253321134184
12,0.185964,0.00141872382421356
13,0.201461,0.11225024441931812
14,0.216958,0.008098524295348585
15,0.232455,0.17113843443673235
16,0.247952,0.0007782385810085537
17,0.263449,0.054019133596209606
18,0.278946,0.01955203843777966
19,0.294443,0.005076081682829902
20,0.30994,0.025923809106982987
21,0.32543700000000003,0.0
22,0.34093399999999996,0.05482155634053986
23,0.356431,9.47649372036596e-06
24,0.371928,0.015601766388027703
25,0.387425,0.049089994852609384
26,0.402922,0.04467892957277353
27,0.418419,0.025750216845906834
28,0.433916,0.0
29,0.449413,1.1946597464685604e-05
30,0.46491,0.01297248987618525
31,0.480407,3.1543902470403104e-06
32,0.495904,0.00067895210190171
33,0.511401,7.440113906370715e-06
34,0.526898,0.0
35,0.542395,0.00010388683350319302
36,0.557892,0.0032195954694327865
37,0.573389,0.15414233279723027
38,0.588886,0.7676451494449748
39,0.604383,1.3758412099186484e-06
40,0.61988,2.211571738852195e-05
41,0.635377,1.6436355474218173e-05
42,0.6508740000000001,0.0
43,0.6663709999999999,0.1074320515068478
44,0.6818679999999999,0.0028525558591028246
45,0.697365,1.3842741797008506e-06
46,0.712862,0.9948618752816638
47,0.7283590000000001,5.541803553151486e-06
48,0.743856,0.17641648384985667
49,0.759353,0.010329925716659189
50,0.77485,0.0011321931207613563
51,0.790347,0.0
52,0.805844,0.10679894015869555
53,0.821341,0.0010642827946593851
54,0.836838,0.0012985654742341285
55,0.8523350000000001,1.5116775576482674e-06
56,0.867832,0.9815599859206451
57,0.8833289999999999,0.00022369935682467612
58,0.898826,0.014845704106757366
59,0.914323,0.0005216466123353668
