period_index,position_mm,duty_cycle
0,0.0,0.032264933673667645
1,0.015497,0.032279244701060604
2,0.030994,0.03230087881815078
3,0.046491,0.03226430922113958
4,0.061988,0.03226430922113958
5,0.077485,0.032278332325628385
6,0.092982,0.03226430922113958
7,0.108479,0.03226430922113958
8,0.123976,0.03226431310922424
9,0.139473,0.03226430922113958
10,0.15497,0.03226430922113958
11,0.17046699999999998,0.03226430922113958
12,0.185964,0.03226430922113958
13,0.201461,0.03226436085012653
14,0.216958,0.08799251012917501
15,0.232455,0.03226430922113958
16,0.247952,0.03226430922113958
17,0.263449,0.03226430922113958
18,0.278946,0.19788666506156855
19,0.294443,0.03232094927189169
20,0.30994,0.04573115258110647
21,0.32543700000000003,0.03231061170724863
22,0.34093399999999996,0.03252963059949049
23,0.356431,0.051956327240131044
24,0.371928,0.03226430922113958
25,0.387425,0.03226430922113958
26,0.402922,0.03226430922113958
27,0.418419,0.03226652337840026
28,0.433916,0.05806558314372498
29,0.449413,0.8351011666765606
30,0.46491,0.03226430922113958
31,0.480407,0.033533503746293616
32,0.495904,0.03226430922113958
33,0.511401,0.033295633206267466
34,0.526898,0.03226468281599071
35,0.542395,0.10933788720241931
36,0.557892,0.032275554968543056
37,0.573389,0.03227118132198767
38,0.588886,0.03226511015061381
39,0.604383,0.032266298177977805
40,0.61988,0.03227187939682603
41,0.635377,0.03226430922113958
42,0.6508740000000001,0.8564412223187804
43,0.6663709999999999,0.774534700365232
44,0.6818679999999999,0.032264309512759354
45,0.697365,0.03226430922113958
46,0.712862,0.8195710746827701
47,0.7283590000000001,0.03226844542027293
48,0.743856,0.03226430922113958
49,0.759353,0.03226448701522057
50,0.77485,0.03226513853718255
51,0.790347,0.03226452087687102
52,0.805844,0.03433015131668672
53,0.821341,0.03226431214722118
54,0.836838,0.03384467524558712
55,0.8523350000000001,0.03252437683101195
56,0.867832,0.03246926124026237
57,0.8833289999999999,0.03226430922113958
58,0.898826,0.03226430922113958
59,0.914323,0.80911441283873
60,0.92982,0.03226430922113958
61,0.945317,0.03226436698910982
62,0.960814,0.03226430922113958
63,0.976311,0.03379748771464689
64,0.991808,0.03226430922113958
65,1.007305,0.03226430922113958
66,1.022802,0.032277091629749566
67,1.038299,0.03226430922113958
68,1.053796,0.03226430922113958
69,1.0692929999999998,0.03226430922113958
70,1.08479,0.03226430922113958
71,1.100287,0.03226434436734638
