domain_index,orientation,z_start_um,z_end_um,length_um
0.0,1.0,0.0,0.5000096771408274,0.5000096771408274
1.0,-1.0,0.5000096771408274,15.497,14.996990322859173
2.0,1.0,15.497,15.997231455132336,0.5002314551323366
3.0,-1.0,15.997231455132336,30.994,14.996768544867663
4.0,1.0,30.994,31.494566719044883,0.5005667190448833
5.0,-1.0,31.494566719044883,46.491,14.996433280955117
6.0,1.0,46.491,46.991,0.5
7.0,-1.0,46.991,61.988,14.997
8.0,1.0,61.988,62.488,0.5
9.0,-1.0,62.488,77.485,14.997
10.0,1.0,77.485,77.98521731605027,0.5002173160502679
11.0,-1.0,77.98521731605027,92.982,14.996782683949732
12.0,1.0,92.982,93.482,0.5
13.0,-1.0,93.482,108.479,14.997
14.0,1.0,108.479,108.979,0.5
15.0,-1.0,108.979,123.976,14.997
16.0,1.0,123.976,124.47600006025365,0.5000000602536545
17.0,-1.0,124.47600006025365,139.473,14.99699993974636
18.0,1.0,139.473,139.973,0.5
19.0,-1.0,139.973,154.97000000000003,14.997000000000014
20.0,1.0,154.97,155.47,0.5
21.0,-1.0,155.47,170.46699999999998,14.996999999999986
22.0,1.0,170.46699999999998,170.96699999999998,0.5
23.0,-1.0,170.96699999999998,185.964,14.997000000000014
24.0,1.0,185.964,186.464,0.5
25.0,-1.0,186.464,201.461,14.997000000000014
26.0,1.0,201.461,201.9610008000944,0.5000008000943978
27.0,-1.0,201.9610008000944,216.95800000000003,14.996999199905616
28.0,1.0,216.958,218.32161992947184,1.363619929471838
29.0,-1.0,218.32161992947184,232.45499999999998,14.133380070528148
30.0,1.0,232.45499999999998,232.95499999999998,0.5
31.0,-1.0,232.95499999999998,247.952,14.997000000000014
32.0,1.0,247.952,248.452,0.5
33.0,-1.0,248.452,263.449,14.997000000000014
34.0,1.0,263.449,263.949,0.5
35.0,-1.0,263.949,278.946,14.997000000000014
36.0,1.0,278.946,282.01264964845916,3.0666496484591335
37.0,-1.0,282.01264964845916,294.44300000000004,12.43035035154088
38.0,1.0,294.443,294.9438777508665,0.5008777508664934
39.0,-1.0,294.9438777508665,309.94,14.99612224913352
40.0,1.0,309.94,310.64869567154943,0.7086956715494352
