period_index,position_mm,duty_cycle
0,0.0,0.13515492164416495
1,0.015497,0.9677356907788605
2,0.030994,0.9677356907788605
3,0.046491,0.9677356907788605
4,0.061988,0.9677356907788605
5,0.077485,0.9677356907788605
6,0.092982,0.12466732498908462
7,0.108479,0.1107674665976778
8,0.123976,0.1034362984590568
9,0.139473,0.09952984964575878
10,0.15497,0.09535384364373141
11,0.17046699999999998,0.09527318789782299
12,0.185964,0.08792899490823815
13,0.201461,0.08080143725745872
14,0.216958,0.07585974027575046
15,0.232455,0.07037482468926348
16,0.247952,0.06594456788357593
17,0.263449,0.05989947572251118
18,0.278946,0.0537415541035648
19,0.294443,0.04853233905465793
20,0.30994,0.04268438291117593
21,0.32543700000000003,0.03436893609514087
22,0.34093399999999996,0.04396540574572205
23,0.356431,0.03281372025018453
24,0.371928,0.03228994123563714
25,0.387425,0.032267508069228665
26,0.402922,0.03226430922113958
27,0.418419,0.03226430922113958
28,0.433916,0.03226430922113958
29,0.449413,0.03226430922113958
30,0.46491,0.03226430922113958
31,0.480407,0.03226430922113958
32,0.495904,0.03226430922113958
33,0.511401,0.03226430922113958
34,0.526898,0.03226430922113958
35,0.542395,0.03226430922113958
36,0.557892,0.03226430922113958
37,0.573389,0.03226430922113958
38,0.588886,0.03226430922113958
39,0.604383,0.03226430922113958
40,0.61988,0.03226430922113958
41,0.635377,0.03226430922113958
42,0.6508740000000001,0.03226430922113958
43,0.6663709999999999,0.03226430922113958
44,0.6818679999999999,0.03226430922113958
45,0.697365,0.03226430922113958
46,0.712862,0.03226430922113958
47,0.7283590000000001,0.03226430922113958
48,0.743856,0.03226430922113958
49,0.759353,0.03226430922113958
50,0.77485,0.03226430922113958
51,0.790347,0.03226430922113958
52,0.805844,0.03226430922113958
53,0.821341,0.03226430922113958
54,0.836838,0.03226430922113958
55,0.8523350000000001,0.03226430922113958
56,0.867832,0.03226430922113958
57,0.8833289999999999,0.03226430922113958
58,0.898826,0.03226430922113958
59,0.914323,0.03226430922113958
60,0.92982,0.03226430922113958
61,0.945317,0.03226430922113958
62,0.960814,0.03226430922113958
63,0.976311,0.03226430922113958
64,0.991808,0.03226430922113958
65,1.007305,0.03226430922113958
66,1.022802,0.03226430922113958
67,1.038299,0.03226430922113958
68,1.053796,0.03226430922113958
69,1.0692929999999998,0.03226430922113958
70,1.08479,0.03226430922113958
71,1.100287,0.03226430922113958
72,1.115784,0.03226430922113958
73,1.131281,0.03226430922113958
74,1.146778,0.03226430922113958
75,1.1622750000000002,0.03226430922113958
76,1.177772,0.03226430922113958
77,1.193269,0.03226430922113958
78,1.208766,0.03226430922113958
79,1.2242629999999999,0.03226430922113958
80,1.23976,0.03226430922113958
81,1.255257,0.03226430922113958
82,1.270754,0.03226430922113958
83,1.286251,0.03226430922113958
84,1.3017480000000001,0.03226430922113958
85,1.317245,0.03226430922113958
86,1.3327419999999999,0.03226430922113958
87,1.348239,0.03226430922113958
88,1.3637359999999998,0.03226430922113958
89,1.379233,0.03226430922113958
90,1.39473,0.03226430922113958
91,1.4102270000000001,0.03226430922113958
92,1.425724,0.03226430922113958
93,1.441221,0.03226430922113958
94,1.4567180000000002,0.03226430922113958
95,1.4722149999999998,0.03226430922113958
96,1.487712,0.03226430922113958
97,1.503209,0.03226430922113958
98,1.518706,0.03226430922113958
99,1.534203,0.03226430922113958
100,1.5497,0.03226430922113958
101,1.565197,0.03226430922113958
102,1.580694,0.03226430922113958
103,1.5961910000000001,0.03226430922113958
104,1.611688,0.03226430922113958
105,1.6271849999999999,0.03226430922113958
106,1.642682,0.03226430922113958
107,1.658179,0.03226430922113958
108,1.673676,0.03226430922113958
109,1.689173,0.03226430922113958
110,1.7046700000000001,0.03226430922113958
111,1.720167,0.03226430922113958
112,1.735664,0.03226430922113958
113,1.751161,0.03226430922113958
114,1.7666579999999998,0.03226430922113958
115,1.782155,0.03226430922113958
116,1.797652,0.03226430922113958
117,1.813149,0.03226430922113958
118,1.828646,0.03226430922113958
119,1.844143,0.03226430922113958
120,1.85964,0.03226430922113958
121,1.875137,0.03226430922113958
122,1.890634,0.03226430922113958
123,1.906131,0.03226430922113958
124,1.921628,0.03226430922113958
125,1.937125,0.03226430922113958
126,1.952622,0.03226430922113958
127,1.968119,0.03226430922113958
128,1.983616,0.03226430922113958
129,1.9991130000000001,0.03226430922113958
130,2.01461,0.03226430922113958
131,2.030107,0.03226430922113958
132,2.045604,0.03226430922113958
133,2.0611010000000003,0.03226430922113958
134,2.076598,0.03226430922113958
135,2.0920949999999996,0.03226430922113958
136,2.107592,0.03226430922113958
137,2.123089,0.03226430922113958
138,2.1385859999999997,0.03226430922113958
139,2.154083,0.03226430922113958
140,2.16958,0.03226430922113958
141,2.1850769999999997,0.03226430922113958
142,2.200574,0.03226430922113958
143,2.216071,0.03226430922113958
144,2.231568,0.03226430922113958
145,2.247065,0.03226430922113958
146,2.262562,0.03226430922113958
147,2.2780590000000003,0.03226430922113958
148,2.293556,0.03226430922113958
149,2.309053,0.03226430922113958
150,2.3245500000000003,0.03226430922113958
151,2.340047,0.03226430922113958
152,2.355544,0.03226430922113958
153,2.371041,0.03226430922113958
154,2.386538,0.03226430922113958
155,2.4020349999999997,0.03226430922113958
156,2.417532,0.03226430922113958
157,2.433029,0.03226430922113958
158,2.4485259999999998,0.03226430922113958
159,2.464023,0.03226430922113958
160,2.47952,0.03226430922113958
161,2.495017,0.03226430922113958
162,2.510514,0.03226430922113958
163,2.526011,0.03226430922113958
164,2.541508,0.03226430922113958
165,2.557005,0.03226430922113958
166,2.572502,0.03226430922113958
167,2.587999,0.03226430922113958
168,2.6034960000000003,0.03226430922113958
169,2.618993,0.03226430922113958
170,2.63449,0.03226430922113958
171,2.649987,0.03226430922113958
172,2.6654839999999997,0.03226430922113958
173,2.6809809999999996,0.03226430922113958
174,2.696478,0.03226430922113958
175,2.711975,0.03226430922113958
176,2.7274719999999997,0.03226430922113958
177,2.742969,0.03226430922113958
178,2.758466,0.03226430922113958
179,2.773963,0.03226430922113958
180,2.78946,0.03226430922113958
181,2.804957,0.03226430922113958
182,2.8204540000000002,0.03226430922113958
183,2.835951,0.03226430922113958
184,2.851448,0.03226430922113958
185,2.8669450000000003,0.03226430922113958
186,2.882442,0.03226430922113958
187,2.897939,0.03226430922113958
188,2.9134360000000004,0.03226430922113958
189,2.928933,0.03226430922113958
190,2.9444299999999997,0.03226430922113958
191,2.959927,0.03226430922113958
192,2.975424,0.03226430922113958
193,2.9909209999999997,0.03226430922113958
194,3.006418,0.03226430922113958
195,3.021915,0.03226430922113958
196,3.037412,0.03226430922113958
197,3.052909,0.03226430922113958
198,3.068406,0.03226430922113958
199,3.083903,0.03226430922113958
200,3.0994,0.03226430922113958
201,3.114897,0.03226430922113958
202,3.130394,0.03226430922113958
203,3.145891,0.03226430922113958
204,3.161388,0.03226430922113958
205,3.176885,0.03226430922113958
206,3.1923820000000003,0.03226430922113958
207,3.2078789999999997,0.03226430922113958
208,3.223376,0.03226430922113958
209,3.238873,0.03226430922113958
210,3.2543699999999998,0.03226430922113958
211,3.269867,0.03226430922113958
212,3.285364,0.03226430922113958
213,3.300861,0.03226430922113958
214,3.316358,0.03226430922113958
215,3.331855,0.03226430922113958
216,3.347352,0.03226430922113958
217,3.362849,0.03226430922113958
218,3.378346,0.03226430922113958
219,3.393843,0.03226430922113958
220,3.4093400000000003,0.03226430922113958
221,3.424837,0.03226430922113958
222,3.440334,0.03226430922113958
223,3.4558310000000003,0.03226430922113958
224,3.471328,0.03226430922113958
225,3.4868249999999996,0.03226430922113958
226,3.502322,0.03226430922113958
227,3.517819,0.03226430922113958
228,3.5333159999999997,0.03226430922113958
229,3.548813,0.03226430922113958
230,3.56431,0.03226430922113958
231,3.5798069999999997,0.03226430922113958
232,3.595304,0.03226430922113958
233,3.610801,0.03226430922113958
234,3.626298,0.8565215801376044
235,3.641795,0.8555924010947228
236,3.657292,0.8560637872039258
237,3.672789,0.8565932622712986
238,3.688286,0.8571629694928908
239,3.703783,0.8578621269529784
240,3.71928,0.8586630600165903
241,3.7347770000000002,0.8595108606963198
242,3.750274,0.860358940927958
243,3.765771,0.8611598453663227
244,3.781268,0.861864311190636
245,3.7967649999999997,0.8624380895617773
246,3.812262,0.8628754466310791
247,3.827759,0.8632390404409596
248,3.843256,0.8638050222843128
249,3.858753,0.8643224704877692
250,3.87425,0.8648366679897879
251,3.889747,0.8654754882453395
252,3.905244,0.8663894714407698
253,3.920741,0.867644267008782
254,3.936238,0.8692126447832204
255,3.951735,0.871144542117214
256,3.967232,0.8728774500269437
257,3.982729,0.03226430922113958
258,3.9982260000000003,0.03226430922113958
259,4.013723,0.03226430922113958
260,4.02922,0.03226430922113958
261,4.044717,0.03226430922113958
262,4.060214,0.03226430922113958
263,4.075711,0.03226430922113958
264,4.091208,0.03226430922113958
265,4.106705,0.03226430922113958
266,4.122202000000001,0.03226430922113958
267,4.137699,0.03226430922113958
268,4.153196,0.03226430922113958
269,4.168693,0.03226430922113958
270,4.184189999999999,0.03226430922113958
271,4.199687,0.03226430922113958
272,4.215184,0.03226430922113958
273,4.230681,0.03226430922113958
