period_index,position_mm,duty_cycle
0.0,0.0,0.0324687749801191
1.0,0.015399410673983054,0.03731029375733565
2.0,0.030798821347966108,0.9675312250198809
3.0,0.04619823202194916,0.9671503134009097
4.0,0.061597642695932216,0.9675311900974871
5.0,0.07699705336991526,0.9668772757033542
6.0,0.09239646404389831,0.91187813174462
7.0,0.10779587471788138,0.06775995443216165
8.0,0.12319528539186443,0.26010749496840474
9.0,0.13859469606584748,0.9318387352837136
10.0,0.15399410673983052,0.9657879572361203
11.0,0.1693935174138136,0.9673262350061339
12.0,0.18479292808779663,0.9675312250198809
13.0,0.2001923387617797,0.22967266877456458
14.0,0.21559174943576276,0.942663447565854
15.0,0.2309911601097458,0.5716115157846858
16.0,0.24639057078372886,0.07201032683587798
17.0,0.26178998145771193,0.03248602935863529
18.0,0.27718939213169497,0.7721931655546509
19.0,0.292588802805678,0.10680437142996838
20.0,0.30798821347966104,0.11609172573425731
21.0,0.32338762415364414,0.6798729284124563
22.0,0.3387870348276272,0.9279623060933584
23.0,0.35418644550161027,0.29689786548436603
24.0,0.36958585617559325,0.9675312250198809
25.0,0.38498526684957635,0.6553210379645249
26.0,0.4003846775235594,0.2197712482553915
27.0,0.4157840881975425,0.5361554925175668
28.0,0.4311834988715255,0.0989995217226007
29.0,0.4465829095455086,0.8216690094627108
30.0,0.4619823202194916,0.5562691412204699
31.0,0.4773817308934747,0.4840846531598522
32.0,0.4927811415674577,0.0522762123256552
33.0,0.5081805522414408,0.3496736979952591
34.0,0.5235799629154239,0.6514998915922775
35.0,0.538979373589407,0.3392960458596204
36.0,0.5543787842633899,0.658721038881786
37.0,0.569778194937373,0.6652141961470229
38.0,0.585177605611356,0.31645097226783786
39.0,0.6005770162853391,0.5291548230496823
40.0,0.6159764269593221,0.34187617231940853
41.0,0.6313758376333052,0.534999284078718
42.0,0.6467752483072883,0.6330810947986738
43.0,0.6621746589812714,0.434808370240735
44.0,0.6775740696552544,0.42759278521143923
45.0,0.6929734803292374,0.6124561163641941
46.0,0.7083728910032205,0.5145067459068227
47.0,0.7237723016772036,0.4627291910403086
48.0,0.7391717123511865,0.5243443725005914
49.0,0.7545711230251696,0.410282176830961
50.0,0.7699705336991527,0.502479677106843
51.0,0.7853699443731357,0.49752032289315695
52.0,0.8007693550471188,0.589717823169039
53.0,0.8161687657211019,0.4756556274994086
54.0,0.831568176395085,0.5372708089596914
55.0,0.8469675870690679,0.48549325409317734
56.0,0.862366997743051,0.38754388363580594
57.0,0.8777664084170341,0.5724072147885608
58.0,0.8931658190910172,0.565191629759265
59.0,0.9085652297650001,0.3669189052013262
60.0,0.9239646404389832,0.465000715921282
61.0,0.9393640511129663,0.6581238276805914
62.0,0.9547634617869494,0.4708451769503177
63.0,0.9701628724609324,0.6835490277321621
64.0,0.9855622831349155,0.33478580385297707
65.0,1.0009616938088985,0.341278961118214
66.0,1.0163611044828815,0.6607039541403796
67.0,1.0317605151568645,0.3485001084077225
68.0,1.0471599258308477,0.650326302004741
69.0,1.0625593365048307,0.9477237876743448
70.0,1.077958747178814,0.5159153468401478
71.0,1.0933581578527969,0.4437308587795301
72.0,1.1087575685267799,0.17833099053728918
73.0,1.1241569792007629,0.9010004782773993
74.0,1.139556389874746,0.4638445074824332
75.0,1.154955800548729,0.7802287517446085
76.0,1.170355211222712,0.3446789620354751
77.0,1.1857546218966952,0.03246877498011913
78.0,1.2011540325706782,0.703102134515634
79.0,1.2165534432446614,0.07203769390664161
80.0,1.2319528539186442,0.3201270715875437
81.0,1.2473522645926274,0.8839082742657427
82.0,1.2627516752666104,0.8931956285700317
83.0,1.2781510859405936,0.2278068344453491
84.0,1.2935504966145766,0.9675139706413647
85.0,1.3089499072885595,0.9279896731641221
86.0,1.3243493179625427,0.42838848421531417
87.0,1.3397487286365255,0.05733655243414604
88.0,1.3551481393105087,0.7703273312254354
89.0,1.3705475499844917,0.03246877498011913
90.0,1.385946960658475,0.032673764993866095
91.0,1.4013463713324579,0.03421204276387968
92.0,1.416745782006441,0.06816126471628636
93.0,1.432145192680424,0.7398925050315952
94.0,1.4475446033544073,0.9322400455678383
95.0,1.46294401402839,0.08812186825538004
96.0,1.478343424702373,0.033122724296645756
97.0,1.4937428353763562,0.032468809902512885
98.0,1.5091422460503392,0.032849686599090266
99.0,1.5245416567243224,0.03246877498011913
100.0,1.5399410673983054,0.9626897062426644
101.0,1.5553404780722886,0.9675312250198809
