domain_index,orientation,z_start_um,z_end_um,length_um
0.0,1.0,0.0,0.5000123977508164,0.5000123977508164
1.0,-1.0,0.5000123977508164,15.399410673983054,14.899398276232237
2.0,1.0,15.399410673983054,16.217812500219985,0.818401826236931
3.0,-1.0,16.217812500219985,30.798821347966108,14.581008847746123
4.0,1.0,30.798821347966108,45.68563540328497,14.886814055318862
5.0,-1.0,45.68563540328497,46.19823202194916,0.5125966186641904
6.0,1.0,46.19823202194916,61.097642695932215,14.899410673983056
7.0,-1.0,61.097642695932215,61.597642695932215,0.5
8.0,1.0,61.597642695932215,73.4952811971294,11.897638501197186
9.0,-1.0,73.4952811971294,76.99705336991526,3.501772172785863
10.0,1.0,76.99705336991526,77.78613656815584,0.7890831982405757
11.0,-1.0,77.78613656815584,92.39646404389832,14.61032747574248
12.0,1.0,92.39646404389832,94.05688000228797,1.660415958389649
13.0,-1.0,94.05688000228797,107.79587471788138,13.738994715593407
14.0,1.0,107.79587471788138,108.35701274064635,0.5611380227649789
15.0,-1.0,108.35701274064635,123.19528539186443,14.838272651218077
16.0,1.0,123.19528539186443,123.69528539186443,0.5
17.0,-1.0,123.69528539186443,138.59469606584747,14.899410673983041
18.0,1.0,138.59469606584747,139.09469606584747,0.5
19.0,-1.0,139.09469606584747,153.99410673983053,14.899410673983056
20.0,1.0,153.99410673983053,166.01626199959583,12.022155259765299
21.0,-1.0,166.01626199959583,169.39351741381358,3.377255414217757
22.0,1.0,169.39351741381358,169.9216521251679,0.528134711354312
23.0,-1.0,169.9216521251679,184.79292808779664,14.871275962628744
24.0,1.0,184.79292808779664,185.6971518063191,0.9042237185224735
25.0,-1.0,185.6971518063191,200.1923387617797,14.495186955460582
26.0,1.0,200.1923387617797,200.7162888873276,0.5239501255479126
27.0,-1.0,200.7162888873276,215.59174943576275,14.875460548435143
28.0,1.0,215.59174943576275,229.70253745395868,14.110788018195933
29.0,-1.0,229.70253745395868,230.9911601097458,1.2886226557871225
30.0,1.0,230.9911601097458,241.1693197548854,10.178159645139601
31.0,-1.0,241.1693197548854,246.39057078372886,5.221251028843454
32.0,1.0,246.39057078372886,249.93641052758858,3.545839743859716
33.0,-1.0,249.93641052758858,261.7899814577119,11.85357093012334
34.0,1.0,261.7899814577119,262.2955190043032,0.5055375465912562
35.0,-1.0,262.2955190043032,277.18939213169494,14.893873127391771
36.0,1.0,277.18939213169494,277.68939213169494,0.5
37.0,-1.0,277.68939213169494,292.588802805678,14.899410673983027
38.0,1.0,292.58880280567803,293.09657381559504,0.5077710099170076
39.0,-1.0,293.09657381559504,307.98821347966106,14.89163966406602
40.0,1.0,307.98821347966106,319.1036235666293,11.115410086968268
41.0,-1.0,319.1036235666293,323.3876241536441,4.284000587014759
42.0,1.0,323.38762415364414,331.2679375706242,7.880313416980073
43.0,-1.0,331.2679375706242,338.78703482762717,7.519097257002954
44.0,1.0,338.78703482762717,339.335226127224,0.5481912995968514
45.0,-1.0,339.335226127224,354.1864455016102,14.851219374386176
46.0,1.0,354.18644550161025,355.75036078759496,1.5639152859847059
47.0,-1.0,355.75036078759496,369.5858561755933,13.835495387998321
48.0,1.0,369.5858561755933,383.42787442800886,13.842018252415585
49.0,-1.0,383.42787442800886,384.9852668495763,1.5573924215674424
50.0,1.0,384.98526684957636,390.1698043124816,5.184537462905212
51.0,-1.0,390.1698043124816,400.3846775235594,10.214873211077816
52.0,1.0,400.3846775235594,413.0031687956632,12.618491272103824
53.0,-1.0,413.0031687956632,415.7840881975424,2.7809194018792027
54.0,1.0,415.7840881975425,422.43911898416,6.655030786617544
55.0,-1.0,422.43911898416,431.1834988715255,8.744379887365483
56.0,1.0,431.1834988715255,440.86203631235475,9.678537440829245
57.0,-1.0,440.86203631235475,446.5829095455085,5.720873233153782
58.0,1.0,446.5829095455086,447.27413646954926,0.6912269240406772
59.0,-1.0,447.27413646954926,461.9823202194916,14.70818374994235
60.0,1.0,461.9823202194916,465.83172611755134,3.8494058980597288
61.0,-1.0,465.83172611755134,477.38173089347464,11.550004775923298
62.0,1.0,477.3817308934747,488.7227142527929,11.340983359318216
63.0,-1.0,488.7227142527929,492.7811415674577,4.0584273146648115
64.0,1.0,492.7811415674577,500.89368043703786,8.112538869580135
65.0,-1.0,500.89368043703786,508.18055224144075,7.286871804402892
66.0,1.0,508.18055224144075,513.6144211722392,5.43386893079844
67.0,-1.0,513.6144211722392,523.5799629154238,9.965541743184644
68.0,1.0,523.5799629154238,538.4450625469897,14.86509963156584
69.0,-1.0,538.4450625469897,538.9793735894069,0.5343110424172437
70.0,1.0,538.9793735894069,547.1465098814082,8.16713629200126
71.0,-1.0,547.1465098814082,554.37878426339,7.232274381981824
72.0,1.0,554.3787842633899,561.956887843967,7.578103580577135
73.0,-1.0,561.956887843967,569.778194937373,7.821307093405949
74.0,1.0,569.778194937373,576.1458222145408,6.367627277167799
75.0,-1.0,576.1458222145408,585.1776056113561,9.031783396815285
76.0,1.0,585.1776056113561,596.3794760268963,11.20187041554027
77.0,-1.0,596.3794760268963,600.5770162853391,4.197540258442814
78.0,1.0,600.5770162853391,608.8102595250399,8.233243239700755
79.0,-1.0,608.8102595250399,615.9764269593222,7.166167434282329
80.0,1.0,615.9764269593221,620.2864089383212,4.309981978999076
81.0,-1.0,620.2864089383212,631.3758376333052,11.089428694984008
82.0,1.0,631.3758376333052,639.5815220540878,8.205684420782632
83.0,-1.0,639.5815220540878,646.7752483072883,7.1937262532004524
84.0,1.0,646.7752483072883,654.8053732442697,8.030124936981451
85.0,-1.0,654.8053732442697,662.1746589812714,7.369285737001633
86.0,1.0,662.1746589812714,668.7869462558707,6.612287274599339
87.0,-1.0,668.7869462558707,677.5740696552544,8.787123399383745
88.0,1.0,677.5740696552543,685.0847128668331,7.510643211578781
89.0,-1.0,685.0847128668331,692.9734803292374,7.888767462404303
90.0,1.0,692.9734803292374,703.0443517307278,10.070871401490422
91.0,-1.0,703.0443517307278,708.3728910032205,5.328539272492662
92.0,1.0,708.3728910032205,716.3961274149551,8.023236411734615
93.0,-1.0,716.3961274149551,723.7723016772036,7.376174262248469
94.0,1.0,723.7723016772036,730.6282460942438,6.8559444170401775
