signal_nm,fixed_idler_display_nm,pump_from_energy_nm,pmf2_norm,pump_amp_norm,f2_norm
1270.0,1569.2018340265377,701.9178084945811,6.846152099001653e-05,1.942181380436364e-10,2.5824974832518393e-24
1270.01,1569.2018340265377,701.9208631593128,6.801744403615441e-05,1.9643253049127444e-10,2.624586687364694e-24
1270.02,1569.2018340265377,701.923917802527,6.75733742971442e-05,1.986715835455264e-10,2.6672326811802208e-24
1270.03,1569.2018340265377,701.9269724242238,6.712933617031389e-05,2.0093556500947667e-10,2.710439815267663e-24
1270.04,1569.2018340265377,701.9300270244032,6.668535409277572e-05,2.0322474551626916e-10,2.7542124003814328e-24
1270.05,1569.2018340265377,701.9330816030658,6.624145254332496e-05,2.0553939855899374e-10,2.7985547053753175e-24
1270.06,1569.2018340265377,701.9361361602118,6.579765604096371e-05,2.0787980051927705e-10,2.8434709549174416e-24
1270.07,1569.2018340265377,701.9391906958413,6.535398914198099e-05,2.1024623069696561e-10,2.888965327134699e-24
1270.08,1569.2018340265377,701.9422452099544,6.491047643690357e-05,2.1263897134049293e-10,2.9350419512263702e-24
1270.09,1569.2018340265377,701.9452997025516,6.446714255991266e-05,2.150583076767576e-10,2.9817049055968313e-24
1270.1,1569.2018340265377,701.9483541736329,6.402401217579703e-05,2.1750452794171494e-10,3.02895821498048e-24
1270.11,1569.2018340265377,701.9514086231987,6.358110999135369e-05,2.1997792341129924e-10,3.076805848655252e-24
1270.12,1569.2018340265377,701.954463051249,6.313846073600968e-05,2.224787884320886e-10,3.1252517171796675e-24
1270.1299999999999,1569.2018340265377,701.9575174577843,6.269608918435524e-05,2.2500742045365766e-10,3.1742996711525865e-24
1270.1399999999999,1569.2018340265377,701.9605718428048,6.225402014213354e-05,2.2756412005950224e-10,3.2239534981773588e-24
1270.1499999999999,1569.2018340265377,701.9636262063106,6.181227843814145e-05,2.3014919099917727e-10,3.2742169200649824e-24
1270.1599999999999,1569.2018340265377,701.9666805483018,6.137088894022144e-05,2.3276294022115557e-10,3.325093591293292e-24
1270.1699999999998,1569.2018340265377,701.9697348687788,6.092987654378106e-05,2.3540567790505106e-10,3.3765870960329834e-24
1270.1799999999998,1569.2018340265377,701.972789167742,6.048926617319673e-05,2.380777174952236e-10,3.428700945854413e-24
1270.1899999999998,1569.2018340265377,701.9758434451915,6.004908278380842e-05,2.407793757332501e-10,3.481438577443876e-24
1270.1999999999998,1569.2018340265377,701.9788977011273,5.9609351351086725e-05,2.4351097269218266e-10,3.5348033496270246e-24
