delay_ps,coincidence_norm
-5.0,0.4999999999979748
-4.99,0.4999999999979478
-4.98,0.49999999999792033
-4.970000000000001,0.49999999999789246
-4.960000000000001,0.49999999999786426
-4.950000000000001,0.4999999999978358
-4.940000000000001,0.4999999999978071
-4.9300000000000015,0.4999999999977783
-4.920000000000002,0.49999999999774936
-4.910000000000002,0.4999999999977205
-4.900000000000002,0.4999999999976916
-4.890000000000002,0.49999999999766287
-4.880000000000003,0.49999999999763434
-4.870000000000003,0.4999999999976061
-4.860000000000003,0.49999999999757805
-4.850000000000003,0.4999999999975504
-4.840000000000003,0.4999999999975231
-4.830000000000004,0.4999999999974963
-4.820000000000004,0.49999999999746986
-4.810000000000004,0.4999999999974439
-4.800000000000004,0.4999999999974184
-4.7900000000000045,0.49999999999739336
-4.780000000000005,0.4999999999973688
-4.770000000000005,0.49999999999734474
-4.760000000000005,0.4999999999973211
-4.750000000000005,0.4999999999972979
-4.7400000000000055,0.499999999997275
-4.730000000000006,0.4999999999972525
-4.720000000000006,0.4999999999972302
-4.710000000000006,0.49999999999720823
-4.700000000000006,0.4999999999971864
-4.690000000000007,0.49999999999716477
-4.680000000000007,0.4999999999971432
-4.670000000000007,0.4999999999971216
-4.660000000000007,0.4999999999971
-4.6500000000000075,0.4999999999970782
-4.640000000000008,0.49999999999705635
-4.630000000000008,0.49999999999703426
-4.620000000000008,0.49999999999701183
-4.610000000000008,0.4999999999969891
-4.6000000000000085,0.49999999999696587
-4.590000000000009,0.49999999999694217
-4.580000000000009,0.49999999999691797
-4.570000000000009,0.4999999999968931
-4.560000000000009,0.4999999999968675
-4.55000000000001,0.4999999999968412
-4.54000000000001,0.499999999996814
-4.53000000000001,0.49999999999678585
-4.52000000000001,0.49999999999675665
-4.5100000000000104,0.4999999999967264
-4.500000000000011,0.4999999999966949
-4.490000000000011,0.49999999999666217
-4.480000000000011,0.499999999996628
-4.470000000000011,0.49999999999659234
-4.4600000000000115,0.49999999999655514
-4.450000000000012,0.49999999999651634
-4.440000000000012,0.4999999999964757
-4.430000000000012,0.4999999999964333
-4.420000000000012,0.499999999996389
-4.410000000000013,0.4999999999963427
-4.400000000000013,0.4999999999962944
-4.390000000000013,0.499999999996244
-4.380000000000013,0.4999999999961915
-4.370000000000013,0.4999999999961368
-4.360000000000014,0.49999999999607997
-4.350000000000014,0.4999999999960209
-4.340000000000014,0.4999999999959597
-4.330000000000014,0.4999999999958963
-4.3200000000000145,0.4999999999958307
-4.310000000000015,0.49999999999576306
-4.300000000000015,0.49999999999569333
-4.290000000000015,0.4999999999956216
-4.280000000000015,0.49999999999554795
-4.270000000000016,0.49999999999547245
-4.260000000000016,0.4999999999953953
-4.250000000000016,0.4999999999953165
-4.240000000000016,0.4999999999952363
-4.230000000000016,0.49999999999515476
-4.220000000000017,0.49999999999507216
-4.210000000000017,0.49999999999498856
-4.200000000000017,0.49999999999490424
-4.190000000000017,0.4999999999948194
-4.1800000000000175,0.49999999999473427
-4.170000000000018,0.4999999999946491
-4.160000000000018,0.4999999999945641
-4.150000000000018,0.4999999999944796
-4.140000000000018,0.4999999999943957
-4.1300000000000185,0.4999999999943128
-4.120000000000019,0.49999999999423117
-4.110000000000019,0.49999999999415096
-4.100000000000019,0.4999999999940724
-4.090000000000019,0.4999999999939958
-4.08000000000002,0.4999999999939213
-4.07000000000002,0.4999999999938491
-4.06000000000002,0.4999999999937793
-4.05000000000002,0.4999999999937121
-4.0400000000000205,0.49999999999364747
-4.030000000000021,0.4999999999935856
-4.020000000000021,0.49999999999352635
-4.010000000000021,0.4999999999934698
-4.000000000000021,0.4999999999934158
-3.9900000000000215,0.4999999999933643
-3.9800000000000217,0.4999999999933152
-3.970000000000022,0.4999999999932681
-3.960000000000022,0.499999999993223
-3.9500000000000224,0.49999999999317946
-3.9400000000000226,0.4999999999931372
-3.930000000000023,0.4999999999930959
-3.920000000000023,0.4999999999930552
-3.9100000000000232,0.49999999999301464
-3.9000000000000234,0.4999999999929738
-3.8900000000000237,0.49999999999293215
-3.880000000000024,0.49999999999288924
-3.870000000000024,0.49999999999284456
-3.8600000000000243,0.4999999999927976
-3.8500000000000245,0.4999999999927478
-3.8400000000000247,0.49999999999269457
-3.830000000000025,0.49999999999263744
-3.820000000000025,0.49999999999257577
-3.8100000000000254,0.49999999999250905
-3.8000000000000256,0.49999999999243666
-3.790000000000026,0.4999999999923581
-3.780000000000026,0.49999999999227285
-3.770000000000026,0.4999999999921803
-3.7600000000000264,0.49999999999208
-3.7500000000000266,0.4999999999919715
-3.740000000000027,0.49999999999185424
-3.730000000000027,0.49999999999172784
-3.7200000000000273,0.4999999999915919
-3.7100000000000275,0.4999999999914461
-3.7000000000000277,0.49999999999129013
-3.690000000000028,0.49999999999112366
-3.680000000000028,0.49999999999094663
-3.6700000000000284,0.4999999999907588
-3.6600000000000286,0.49999999999056016
-3.6500000000000288,0.4999999999903507
-3.640000000000029,0.49999999999013056
-3.630000000000029,0.49999999998989986
-3.6200000000000294,0.4999999999896589
-3.6100000000000296,0.499999999989408
-3.60000000000003,0.4999999999891476
-3.59000000000003,0.49999999998887823
-3.5800000000000303,0.4999999999886005
-3.5700000000000305,0.4999999999883151
-3.5600000000000307,0.49999999998802286
-3.550000000000031,0.49999999998772454
-3.540000000000031,0.4999999999874212
-3.5300000000000313,0.49999999998711364
-3.5200000000000315,0.4999999999868031
-3.5100000000000318,0.4999999999864907
-3.500000000000032,0.49999999998617745
-3.490000000000032,0.4999999999858646
-3.4800000000000324,0.4999999999855534
-3.4700000000000326,0.499999999985245
-3.460000000000033,0.49999999998494066
-3.450000000000033,0.49999999998464156
-3.4400000000000333,0.4999999999843489
-3.4300000000000335,0.4999999999840638
-3.4200000000000337,0.4999999999837873
-3.410000000000034,0.4999999999835204
-3.400000000000034,0.49999999998326417
-3.3900000000000343,0.49999999998301925
-3.3800000000000345,0.4999999999827865
-3.3700000000000347,0.49999999998256645
-3.360000000000035,0.49999999998235967
-3.350000000000035,0.4999999999821664
-3.3400000000000354,0.4999999999819868
-3.3300000000000356,0.499999999981821
-3.320000000000036,0.49999999998166866
-3.310000000000036,0.4999999999815296
-3.3000000000000362,0.49999999998140326
-3.2900000000000365,0.49999999998128886
-3.2800000000000367,0.49999999998118555
-3.270000000000037,0.4999999999810922
-3.260000000000037,0.49999999998100747
-3.2500000000000373,0.4999999999809299
-3.2400000000000375,0.49999999998085776
-3.2300000000000377,0.49999999998078914
-3.220000000000038,0.499999999980722
-3.210000000000038,0.499999999980654
-3.2000000000000384,0.49999999998058275
-3.1900000000000386,0.49999999998050565
-3.180000000000039,0.49999999998042
-3.170000000000039,0.4999999999803228
-3.160000000000039,0.4999999999802112
-3.1500000000000394,0.49999999998008204
-3.1400000000000396,0.4999999999799322
-3.13000000000004,0.4999999999797585
-3.12000000000004,0.4999999999795578
-3.1100000000000403,0.49999999997932676
-3.1000000000000405,0.4999999999790623
-3.0900000000000407,0.4999999999787614
-3.080000000000041,0.499999999978421
-3.070000000000041,0.49999999997803835
-3.0600000000000414,0.4999999999776107
-3.0500000000000416,0.4999999999771356
-3.040000000000042,0.499999999976611
-3.030000000000042,0.49999999997603467
-3.020000000000042,0.4999999999754051
-3.0100000000000424,0.49999999997472094
-3.0000000000000426,0.49999999997398115
-2.990000000000043,0.49999999997318506
-2.980000000000043,0.49999999997233235
-2.9700000000000433,0.49999999997142325
-2.9600000000000435,0.4999999999704583
-2.9500000000000437,0.49999999996943834
-2.940000000000044,0.4999999999683649
-2.930000000000044,0.4999999999672397
-2.9200000000000443,0.4999999999660651
-2.9100000000000446,0.4999999999648437
-2.9000000000000448,0.4999999999635787
-2.890000000000045,0.49999999996227357
-2.880000000000045,0.49999999996093225
-2.8700000000000454,0.4999999999595592
-2.8600000000000456,0.49999999995815897
-2.850000000000046,0.49999999995673666
-2.840000000000046,0.49999999995529765
-2.8300000000000463,0.49999999995384753
-2.8200000000000465,0.4999999999523922
-2.8100000000000467,0.49999999995093763
-2.800000000000047,0.49999999994949007
-2.790000000000047,0.49999999994805583
-2.7800000000000473,0.49999999994664124
-2.7700000000000475,0.49999999994525257
-2.7600000000000477,0.499999999943896
-2.750000000000048,0.4999999999425776
-2.740000000000048,0.49999999994130323
-2.7300000000000484,0.4999999999400784
-2.7200000000000486,0.4999999999389081
-2.710000000000049,0.49999999993779715
-2.700000000000049,0.49999999993674965
-2.6900000000000492,0.49999999993576916
-2.6800000000000495,0.49999999993485844
-2.6700000000000497,0.49999999993401967
-2.66000000000005,0.499999999933254
-2.65000000000005,0.4999999999325619
-2.6400000000000503,0.4999999999319426
-2.6300000000000505,0.4999999999313946
-2.6200000000000507,0.49999999993091504
-2.610000000000051,0.49999999993050015
-2.600000000000051,0.4999999999301449
-2.5900000000000514,0.499999999929843
-2.5800000000000516,0.49999999992958705
-2.570000000000052,0.49999999992936833
-2.560000000000052,0.49999999992917693
-2.5500000000000522,0.4999999999290017
-2.5400000000000524,0.4999999999288303
-2.5300000000000527,0.49999999992864924
-2.520000000000053,0.4999999999284438
-2.510000000000053,0.49999999992819827
-2.5000000000000533,0.49999999992789607
-2.4900000000000535,0.4999999999275196
-2.4800000000000537,0.4999999999270504
-2.470000000000054,0.49999999992646954
-2.460000000000054,0.4999999999257574
-2.4500000000000544,0.499999999924894
-2.4400000000000546,0.4999999999238592
-2.430000000000055,0.4999999999226328
-2.420000000000055,0.4999999999211945
-2.410000000000055,0.4999999999195246
-2.4000000000000554,0.4999999999176038
-2.3900000000000556,0.49999999991541355
-2.380000000000056,0.4999999999129361
-2.370000000000056,0.49999999991015504
-2.3600000000000563,0.4999999999070552
-2.3500000000000565,0.499999999903623
-2.3400000000000567,0.49999999989984667
-2.330000000000057,0.4999999998957165
-2.320000000000057,0.49999999989122473
-2.3100000000000573,0.4999999998863661
-2.3000000000000576,0.4999999998811379
-2.2900000000000578,0.49999999987553995
-2.280000000000058,0.49999999986957483
-2.270000000000058,0.49999999986324806
-2.2600000000000584,0.49999999985656807
-2.2500000000000586,0.4999999998495462
-2.240000000000059,0.49999999984219684
-2.230000000000059,0.4999999998345373
-2.2200000000000593,0.49999999982658777
-2.2100000000000595,0.49999999981837134
-2.2000000000000597,0.4999999998099138
-2.19000000000006,0.4999999998012435
-2.18000000000006,0.49999999979239107
