signal_nm,fixed_idler_display_nm,pump_from_energy_nm,pmf2_norm,pump_amp_norm,f2_norm
1270.0,1569.2018340265377,701.9178084945811,6.846152099001653e-05,9.186334214330618e-10,5.777560338963092e-23
1270.01,1569.2018340265377,701.9208631593128,6.801744403615441e-05,9.283756294559423e-10,5.862478102543006e-23
1270.02,1569.2018340265377,701.923917802527,6.75733742971442e-05,9.382185754149585e-10,5.948358337674371e-23
1270.03,1569.2018340265377,701.9269724242238,6.712933617031389e-05,9.48163273016776e-10,6.035205650227143e-23
1270.04,1569.2018340265377,701.9300270244032,6.668535409277572e-05,9.582107458709185e-10,6.12302451597584e-23
1270.05,1569.2018340265377,701.9330816030658,6.624145254332496e-05,9.683620275871968e-10,6.211819276875631e-23
1270.06,1569.2018340265377,701.9361361602118,6.579765604096371e-05,9.78618161866922e-10,6.301594136940916e-23
1270.07,1569.2018340265377,701.9391906958413,6.535398914198099e-05,9.889802025986695e-10,6.392353158009541e-23
1270.08,1569.2018340265377,701.9422452099544,6.491047643690357e-05,9.994492139564685e-10,6.484100255479376e-23
1270.09,1569.2018340265377,701.9452997025516,6.446714255991266e-05,1.010026270495464e-09,6.576839195238081e-23
1270.1,1569.2018340265377,701.9483541736329,6.402401217579703e-05,1.020712457250343e-09,6.670573588405846e-23
1270.11,1569.2018340265377,701.9514086231987,6.358110999135369e-05,1.031508869834686e-09,6.76530688852447e-23
1270.12,1569.2018340265377,701.954463051249,6.313846073600968e-05,1.0424166145388014e-09,6.861042385539028e-23
1270.1299999999999,1569.2018340265377,701.9575174577843,6.269608918435524e-05,1.0534368084345318e-09,6.957783204269223e-23
1270.1399999999999,1569.2018340265377,701.9605718428048,6.225402014213354e-05,1.0645705794732854e-09,7.055532298976486e-23
1270.1499999999999,1569.2018340265377,701.9636262063106,6.181227843814145e-05,1.075819066589035e-09,7.154292448507117e-23
1270.1599999999999,1569.2018340265377,701.9666805483018,6.137088894022144e-05,1.087183419803886e-09,7.254066254223101e-23
1270.1699999999998,1569.2018340265377,701.9697348687788,6.092987654378106e-05,1.0986648003305131e-09,7.354856134841283e-23
1270.1799999999998,1569.2018340265377,701.972789167742,6.048926617319673e-05,1.1102643806801177e-09,7.456664322801954e-23
1270.1899999999998,1569.2018340265377,701.9758434451915,6.004908278380842e-05,1.121983344764991e-09,7.559492860703856e-23
1270.1999999999998,1569.2018340265377,701.9788977011273,5.9609351351086725e-05,1.1338228880083726e-09,7.663343596269969e-23
1270.2099999999998,1569.2018340265377,701.9819519355498,5.917009688528026e-05,1.1457842174532657e-09,7.768218180527282e-23
1270.2199999999998,1569.2018340265377,701.9850061484592,5.873134441818307e-05,1.1578685518704504e-09,7.874118062540802e-23
1270.2299999999998,1569.2018340265377,701.9880603398559,5.8293119005569294e-05,1.1700771218696519e-09,7.981044486188599e-23
1270.2399999999998,1569.2018340265377,701.9911145097399,5.7855445730591055e-05,1.182411170009027e-09,8.088998487167199e-23
