signal_nm,fixed_idler_display_nm,pump_from_energy_nm,pmf2_norm,pump_amp_norm,f2_norm
1270.0,1569.2018340265377,701.9178084945811,6.846152099001577e-05,1.942181380436364e-10,2.582497483251807e-24
1270.01,1569.2018340265377,701.9208631593128,6.801744403615406e-05,1.9643253049127444e-10,2.6245866873646765e-24
1270.02,1569.2018340265377,701.923917802527,6.757337429714444e-05,1.986715835455264e-10,2.6672326811802267e-24
1270.03,1569.2018340265377,701.9269724242238,6.712933617031394e-05,2.0093556500947667e-10,2.710439815267662e-24
1270.04,1569.2018340265377,701.9300270244032,6.668535409277665e-05,2.0322474551626916e-10,2.7542124003814673e-24
1270.05,1569.2018340265377,701.9330816030658,6.624145254332427e-05,2.0553939855899374e-10,2.7985547053752837e-24
1270.06,1569.2018340265377,701.9361361602118,6.579765604096384e-05,2.0787980051927705e-10,2.8434709549174434e-24
1270.07,1569.2018340265377,701.9391906958413,6.53539891419803e-05,2.1024623069696561e-10,2.888965327134664e-24
1270.08,1569.2018340265377,701.9422452099544,6.491047643690428e-05,2.1263897134049293e-10,2.9350419512263974e-24
1270.09,1569.2018340265377,701.9452997025516,6.446714255991269e-05,2.150583076767576e-10,2.981704905596828e-24
1270.1,1569.2018340265377,701.9483541736329,6.402401217579718e-05,2.1750452794171494e-10,3.028958214980484e-24
1270.11,1569.2018340265377,701.9514086231987,6.358110999135241e-05,2.1997792341129924e-10,3.0768058486551865e-24
1270.12,1569.2018340265377,701.954463051249,6.313846073600847e-05,2.224787884320886e-10,3.1252517171796036e-24
1270.1299999999999,1569.2018340265377,701.9575174577843,6.269608918435606e-05,2.2500742045365766e-10,3.1742996711526236e-24
1270.1399999999999,1569.2018340265377,701.9605718428048,6.22540201421339e-05,2.2756412005950224e-10,3.2239534981773713e-24
1270.1499999999999,1569.2018340265377,701.9636262063106,6.181227843814176e-05,2.3014919099917727e-10,3.274216920064994e-24
1270.1599999999999,1569.2018340265377,701.9666805483018,6.137088894022127e-05,2.3276294022115557e-10,3.325093591293277e-24
1270.1699999999998,1569.2018340265377,701.9697348687788,6.092987654378007e-05,2.3540567790505106e-10,3.376587096032923e-24
1270.1799999999998,1569.2018340265377,701.972789167742,6.04892661731972e-05,2.380777174952236e-10,3.428700945854437e-24
1270.1899999999998,1569.2018340265377,701.9758434451915,6.0049082783809315e-05,2.407793757332501e-10,3.481438577443922e-24
1270.1999999999998,1569.2018340265377,701.9788977011273,5.960935135108674e-05,2.4351097269218266e-10,3.5348033496270194e-24
1270.2099999999998,1569.2018340265377,701.9819519355498,5.917009688527979e-05,2.462728318106717e-10,3.58879854185158e-24
1270.2199999999998,1569.2018340265377,701.9850061484592,5.873134441818381e-05,2.490652799270135e-10,3.643427351064393e-24
1270.2299999999998,1569.2018340265377,701.9880603398559,5.829311900556937e-05,2.518886473140428e-10,3.698692889509202e-24
1270.2399999999998,1569.2018340265377,701.9911145097399,5.785544573059224e-05,2.547432677137436e-10,3.754598182614374e-24
1270.2499999999998,1569.2018340265377,701.9941686581114,5.741834969495678e-05,2.5762947837324963e-10,3.811146166157573e-24
1270.2599999999998,1569.2018340265377,701.997222784971,5.698185602664613e-05,2.6054762008026944e-10,3.868339684483417e-24
1270.2699999999998,1569.2018340265377,702.0002768903184,5.6545989873878796e-05,2.6349803719882464e-10,3.9261814878713615e-24
1270.2799999999997,1569.2018340265377,702.0033309741542,5.611077639891257e-05,2.6648107770633993e-10,3.98467422991044e-24
1270.2899999999997,1569.2018340265377,702.0063850364785,5.5676240794895884e-05,2.694970932300019e-10,4.043820466503555e-24
1270.2999999999997,1569.2018340265377,702.0094390772916,5.524240826468582e-05,2.725464390841348e-10,4.1036226522834585e-24
1270.3099999999997,1569.2018340265377,702.0124930965937,5.4809304031872e-05,2.7562947430738564e-10,4.164083139309865e-24
1270.3199999999997,1569.2018340265377,702.0155470943849,5.4376953335277016e-05,2.787465617008325e-10,4.225204174674003e-24
1270.3299999999997,1569.2018340265377,702.0186010706655,5.3945381431674216e-05,2.8189806786636827e-10,4.286987898768394e-24
1270.3399999999997,1569.2018340265377,702.021655025436,5.351461359274904e-05,2.850843632457076e-10,4.3494363432030556e-24
1270.3499999999997,1569.2018340265377,702.0247089586961,5.30846751032462e-05,2.8830582215785764e-10,4.412551428814253e-24
1270.3599999999997,1569.2018340265377,702.0277628704464,5.26555912585858e-05,2.915628228404293e-10,4.4763349638044e-24
1270.3699999999997,1569.2018340265377,702.030816760687,5.222738737187037e-05,2.9485574748834945e-10,4.540788642678706e-24
1270.3799999999997,1569.2018340265377,702.0338706294183,5.1800088765316e-05,2.981849822944194e-10,4.6059140440298605e-24
1270.3899999999996,1569.2018340265377,702.0369244766404,5.13737207695997e-05,3.0155091748951074e-10,4.6717126290344234e-24
1270.3999999999996,1569.2018340265377,702.0399783023532,5.094830872562345e-05,3.0495394738365904e-10,4.738185740303614e-24
1270.4099999999996,1569.2018340265377,702.0430321065575,5.052387798528675e-05,3.0839447040821354e-10,4.805334600813913e-24
1270.4199999999996,1569.2018340265377,702.0460858892533,5.010045390570347e-05,3.118728891566045e-10,4.873160312296966e-24
1270.4299999999996,1569.2018340265377,702.0491396504408,4.967806185383044e-05,3.1538961042679035e-10,4.941663854781285e-24
1270.4399999999996,1569.2018340265377,702.0521933901201,4.9256727199052024e-05,3.189450452639862e-10,5.01084608512721e-24
1270.4499999999996,1569.2018340265377,702.0552471082915,4.883647531832873e-05,3.225396090038273e-10,5.080707736941544e-24
1270.4599999999996,1569.2018340265377,702.0583008049555,4.841733159147159e-05,3.26173721316097e-10,5.151249419699622e-24
1270.4699999999996,1569.2018340265377,702.0613544801121,4.7999321402145226e-05,3.298478062475193e-10,5.222471618576058e-24
1270.4799999999996,1569.2018340265377,702.0644081337614,4.7582470135747186e-05,3.335622922668597e-10,5.294374694207476e-24
