Thorlabs Beam
Version: 9.1.5787.560
Date yyyy/MM/dd	2025/12/25
Time H:mm:ss	21:33:47

Device: 	BP209-IR/M
S/N: 	M00567450

Wavelength	[nm]	900

Measurement	Time [hh:mm:ss:zzz]	Peak Position X[É m]	Peak Position Y[É m]	Centroid Position X[É m]	Centroid Position Y[É m]	AD Saturation[%]	Total Power[dBm]	Beam Width Clip X[É m]	Beam Width Clip Y[É m]	Gaussian Intensity X[%]	Gaussian Intensity Y[%]	Gaussian Diameter X[É m]	Gaussian Diameter Y[É m]	
1	21:33:47.352	-9.60	-962.40	238.35	-1064.82	21.42	5.54	2712.93	3077.07	91.64	92.94	2704.61	2968.12	
2	21:33:47.457	-9.60	-962.40	238.35	-1064.82	21.42	5.54	2712.93	3077.07	91.64	92.94	2704.61	2968.12	
3	21:33:47.571	-9.60	-962.40	238.35	-1064.82	21.42	5.54	2712.93	3077.07	91.64	92.94	2704.61	2968.12	
4	21:33:47.661	19.20	-969.60	240.99	-1067.09	21.45	5.54	2720.78	3069.15	91.70	92.99	2694.00	2965.01	
5	21:33:47.772	19.20	-969.60	240.99	-1067.09	21.45	5.54	2720.78	3069.15	91.70	92.99	2694.00	2965.01	
6	21:33:47.855	19.20	-969.60	240.99	-1067.09	21.45	5.54	2720.78	3069.15	91.70	92.99	2694.00	2965.01	
7	21:33:47.964	19.20	-969.60	240.99	-1067.09	21.45	5.54	2720.78	3069.15	91.70	92.99	2694.00	2965.01	
8	21:33:48.055	19.20	-969.60	240.99	-1067.09	21.45	5.54	2720.78	3069.15	91.70	92.99	2694.00	2965.01	
9	21:33:48.170	19.20	-969.60	240.99	-1067.09	21.45	5.54	2720.78	3069.15	91.70	92.99	2694.00	2965.01	
10	21:33:48.257	21.60	-986.40	239.81	-1062.92	21.44	5.54	2702.55	3084.06	91.69	92.96	2700.49	2967.54	
11	21:33:48.371	21.60	-986.40	239.81	-1062.92	21.44	5.54	2702.55	3084.06	91.69	92.96	2700.49	2967.54	
12	21:33:48.468	21.60	-986.40	239.81	-1062.92	21.44	5.54	2702.55	3084.06	91.69	92.96	2700.49	2967.54	
13	21:33:48.570	21.60	-986.40	239.81	-1062.92	21.44	5.54	2702.55	3084.06	91.69	92.96	2700.49	2967.54	
14	21:33:48.675	21.60	-986.40	239.81	-1062.92	21.44	5.54	2702.55	3084.06	91.69	92.96	2700.49	2967.54	
15	21:33:48.768	40.80	-981.60	238.98	-1067.67	21.44	5.54	2715.46	3064.65	91.63	92.97	2704.16	2961.33	
16	21:33:48.881	40.80	-981.60	238.98	-1067.67	21.44	5.54	2715.46	3064.65	91.63	92.97	2704.16	2961.33	
17	21:33:48.966	40.80	-981.60	238.98	-1067.67	21.44	5.54	2715.46	3064.65	91.63	92.97	2704.16	2961.33	
18	21:33:49.092	40.80	-981.60	238.98	-1067.67	21.44	5.54	2715.46	3064.65	91.63	92.97	2704.16	2961.33	
19	21:33:49.172	40.80	-981.60	238.98	-1067.67	21.44	5.54	2715.46	3064.65	91.63	92.97	2704.16	2961.33	
20	21:33:49.273	40.80	-981.60	238.98	-1067.67	21.44	5.54	2715.46	3064.65	91.63	92.97	2704.16	2961.33	
21	21:33:49.375	12.00	-981.60	241.61	-1065.36	21.37	5.54	2709.35	3070.22	91.73	92.99	2698.60	2967.50	
22	21:33:49.479	12.00	-981.60	241.61	-1065.36	21.37	5.54	2709.35	3070.22	91.73	92.99	2698.60	2967.50	
23	21:33:49.576	12.00	-981.60	241.61	-1065.36	21.37	5.54	2709.35	3070.22	91.73	92.99	2698.60	2967.50	
24	21:33:49.700	12.00	-981.60	241.61	-1065.36	21.37	5.54	2709.35	3070.22	91.73	92.99	2698.60	2967.50	
25	21:33:49.783	12.00	-981.60	241.61	-1065.36	21.37	5.54	2709.35	3070.22	91.73	92.99	2698.60	2967.50	
26	21:33:49.882	-7.20	-949.20	240.70	-1068.68	21.37	5.54	2738.95	3084.26	91.71	93.00	2701.46	2966.01	
27	21:33:49.990	-7.20	-949.20	240.70	-1068.68	21.37	5.54	2738.95	3084.26	91.71	93.00	2701.46	2966.01	
28	21:33:50.084	-7.20	-949.20	240.70	-1068.68	21.37	5.54	2738.95	3084.26	91.71	93.00	2701.46	2966.01	
29	21:33:50.192	-7.20	-949.20	240.70	-1068.68	21.37	5.54	2738.95	3084.26	91.71	93.00	2701.46	2966.01	
30	21:33:50.308	-7.20	-949.20	240.70	-1068.68	21.37	5.54	2738.95	3084.26	91.71	93.00	2701.46	2966.01	
31	21:33:50.403	21.60	-963.60	240.79	-1066.26	21.47	5.54	2721.14	3084.42	91.70	92.96	2698.48	2964.61	
32	21:33:50.485	21.60	-963.60	240.79	-1066.26	21.47	5.54	2721.14	3084.42	91.70	92.96	2698.48	2964.61	
33	21:33:50.595	21.60	-963.60	240.79	-1066.26	21.47	5.54	2721.14	3084.42	91.70	92.96	2698.48	2964.61	
