Thorlabs Beam
Version: 9.1.5787.560
Date yyyy/MM/dd	2025/12/25
Time H:mm:ss	21:31:58

Device: 	BP209-IR/M
S/N: 	M00567450

Wavelength	[nm]	900

Measurement	Time [hh:mm:ss:zzz]	Peak Position X[É m]	Peak Position Y[É m]	Centroid Position X[É m]	Centroid Position Y[É m]	AD Saturation[%]	Total Power[dBm]	Beam Width Clip X[É m]	Beam Width Clip Y[É m]	Gaussian Intensity X[%]	Gaussian Intensity Y[%]	Gaussian Diameter X[É m]	Gaussian Diameter Y[É m]	
1	21:31:58.338	-28.80	-745.20	184.13	-874.23	20.98	5.54	2769.11	3129.67	91.50	92.73	2742.42	3015.90	
2	21:31:58.440	-28.80	-745.20	184.13	-874.23	20.98	5.54	2769.11	3129.67	91.50	92.73	2742.42	3015.90	
3	21:31:58.604	-39.60	-759.60	185.36	-878.16	20.97	5.54	2768.43	3119.55	91.46	92.71	2738.29	3011.75	
4	21:31:58.687	-39.60	-759.60	185.36	-878.16	20.97	5.54	2768.43	3119.55	91.46	92.71	2738.29	3011.75	
5	21:31:58.771	-39.60	-759.60	185.36	-878.16	20.97	5.54	2768.43	3119.55	91.46	92.71	2738.29	3011.75	
6	21:31:58.857	-39.60	-759.60	185.36	-878.16	20.97	5.54	2768.43	3119.55	91.46	92.71	2738.29	3011.75	
7	21:31:58.938	-39.60	-759.60	185.36	-878.16	20.97	5.54	2768.43	3119.55	91.46	92.71	2738.29	3011.75	
8	21:31:59.049	-39.60	-759.60	185.36	-878.16	20.97	5.54	2768.43	3119.55	91.46	92.71	2738.29	3011.75	
9	21:31:59.145	-42.00	-739.20	184.07	-878.48	21.00	5.54	2751.97	3119.40	91.50	92.71	2738.75	3010.65	
10	21:31:59.249	-42.00	-739.20	184.07	-878.48	21.00	5.54	2751.97	3119.40	91.50	92.71	2738.75	3010.65	
11	21:31:59.345	-42.00	-739.20	184.07	-878.48	21.00	5.54	2751.97	3119.40	91.50	92.71	2738.75	3010.65	
12	21:31:59.444	-42.00	-739.20	184.07	-878.48	21.00	5.54	2751.97	3119.40	91.50	92.71	2738.75	3010.65	
13	21:31:59.547	-42.00	-739.20	184.07	-878.48	21.00	5.54	2751.97	3119.40	91.50	92.71	2738.75	3010.65	
14	21:31:59.648	-75.60	-789.60	183.97	-873.35	21.01	5.54	2754.49	3123.18	91.52	92.69	2736.97	3015.89	
15	21:31:59.752	-75.60	-789.60	183.97	-873.35	21.01	5.54	2754.49	3123.18	91.52	92.69	2736.97	3015.89	
16	21:31:59.850	-75.60	-789.60	183.97	-873.35	21.01	5.54	2754.49	3123.18	91.52	92.69	2736.97	3015.89	
17	21:31:59.959	-75.60	-789.60	183.97	-873.35	21.01	5.54	2754.49	3123.18	91.52	92.69	2736.97	3015.89	
18	21:32:00.070	-75.60	-789.60	183.97	-873.35	21.01	5.54	2754.49	3123.18	91.52	92.69	2736.97	3015.89	
19	21:32:00.156	-32.40	-770.40	182.05	-876.48	21.04	5.54	2768.84	3130.11	91.50	92.71	2739.46	3013.93	
20	21:32:00.252	-32.40	-770.40	182.05	-876.48	21.04	5.54	2768.84	3130.11	91.50	92.71	2739.46	3013.93	
21	21:32:00.357	-32.40	-770.40	182.05	-876.48	21.04	5.54	2768.84	3130.11	91.50	92.71	2739.46	3013.93	
22	21:32:00.460	-32.40	-770.40	182.05	-876.48	21.04	5.54	2768.84	3130.11	91.50	92.71	2739.46	3013.93	
23	21:32:00.557	-32.40	-770.40	182.05	-876.48	21.04	5.54	2768.84	3130.11	91.50	92.71	2739.46	3013.93	
24	21:32:00.659	-32.40	-770.40	182.05	-876.48	21.04	5.54	2768.84	3130.11	91.50	92.71	2739.46	3013.93	
25	21:32:00.764	-34.80	-778.80	183.32	-876.51	20.98	5.54	2770.09	3126.55	91.52	92.72	2734.50	3014.56	
26	21:32:00.861	-34.80	-778.80	183.32	-876.51	20.98	5.54	2770.09	3126.55	91.52	92.72	2734.50	3014.56	
27	21:32:00.963	-34.80	-778.80	183.32	-876.51	20.98	5.54	2770.09	3126.55	91.52	92.72	2734.50	3014.56	
28	21:32:01.060	-34.80	-778.80	183.32	-876.51	20.98	5.54	2770.09	3126.55	91.52	92.72	2734.50	3014.56	
29	21:32:01.157	-34.80	-778.80	183.32	-876.51	20.98	5.54	2770.09	3126.55	91.52	92.72	2734.50	3014.56	
30	21:32:01.281	-34.80	-778.80	183.32	-876.51	20.98	5.54	2770.09	3126.55	91.52	92.72	2734.50	3014.56	
31	21:32:01.413	-12.00	-788.40	184.67	-877.07	21.03	5.54	2753.93	3102.59	91.56	92.71	2733.24	3010.36	
