Thorlabs Beam
Version: 9.1.5787.560
Date yyyy/MM/dd	2025/12/25
Time H:mm:ss	21:34:32

Device: 	BP209-IR/M
S/N: 	M00567450

Wavelength	[nm]	900

Measurement	Time [hh:mm:ss:zzz]	Peak Position X[É m]	Peak Position Y[É m]	Centroid Position X[É m]	Centroid Position Y[É m]	AD Saturation[%]	Total Power[dBm]	Beam Width Clip X[É m]	Beam Width Clip Y[É m]	Gaussian Intensity X[%]	Gaussian Intensity Y[%]	Gaussian Diameter X[É m]	Gaussian Diameter Y[É m]	
1	21:34:32.662	285.60	-1196.40	527.28	-1297.17	21.62	5.54	2709.61	3059.66	91.69	93.06	2670.84	2927.39	
2	21:34:32.759	290.40	-1179.60	524.75	-1297.22	21.61	5.54	2717.14	3054.60	91.65	93.06	2680.35	2926.11	
3	21:34:32.887	290.40	-1179.60	524.75	-1297.22	21.61	5.54	2717.14	3054.60	91.65	93.06	2680.35	2926.11	
4	21:34:32.966	290.40	-1179.60	524.75	-1297.22	21.61	5.54	2717.14	3054.60	91.65	93.06	2680.35	2926.11	
5	21:34:33.068	290.40	-1179.60	524.75	-1297.22	21.61	5.54	2717.14	3054.60	91.65	93.06	2680.35	2926.11	
6	21:34:33.177	290.40	-1179.60	524.75	-1297.22	21.61	5.54	2717.14	3054.60	91.65	93.06	2680.35	2926.11	
7	21:34:33.267	283.20	-1190.40	526.71	-1295.09	21.59	5.54	2710.88	3020.33	91.66	93.10	2679.11	2926.04	
8	21:34:33.407	283.20	-1190.40	526.71	-1295.09	21.59	5.54	2710.88	3020.33	91.66	93.10	2679.11	2926.04	
9	21:34:33.491	283.20	-1190.40	526.71	-1295.09	21.59	5.54	2710.88	3020.33	91.66	93.10	2679.11	2926.04	
10	21:34:33.574	283.20	-1190.40	526.71	-1295.09	21.59	5.54	2710.88	3020.33	91.66	93.10	2679.11	2926.04	
11	21:34:33.706	283.20	-1190.40	526.71	-1295.09	21.59	5.54	2710.88	3020.33	91.66	93.10	2679.11	2926.04	
12	21:34:33.802	307.20	-1184.40	526.48	-1297.01	21.63	5.54	2711.03	3040.31	91.70	93.06	2674.89	2924.43	
13	21:34:33.887	307.20	-1184.40	526.48	-1297.01	21.63	5.54	2711.03	3040.31	91.70	93.06	2674.89	2924.43	
14	21:34:33.980	307.20	-1184.40	526.48	-1297.01	21.63	5.54	2711.03	3040.31	91.70	93.06	2674.89	2924.43	
15	21:34:34.087	307.20	-1184.40	526.48	-1297.01	21.63	5.54	2711.03	3040.31	91.70	93.06	2674.89	2924.43	
16	21:34:34.202	307.20	-1184.40	526.48	-1297.01	21.63	5.54	2711.03	3040.31	91.70	93.06	2674.89	2924.43	
17	21:34:34.285	307.20	-1184.40	526.48	-1297.01	21.63	5.54	2711.03	3040.31	91.70	93.06	2674.89	2924.43	
18	21:34:34.386	283.20	-1210.80	527.48	-1291.76	21.63	5.54	2702.90	3036.62	91.65	93.06	2676.98	2927.23	
19	21:34:34.488	283.20	-1210.80	527.48	-1291.76	21.63	5.54	2702.90	3036.62	91.65	93.06	2676.98	2927.23	
20	21:34:34.601	283.20	-1210.80	527.48	-1291.76	21.63	5.54	2702.90	3036.62	91.65	93.06	2676.98	2927.23	
21	21:34:34.687	283.20	-1210.80	527.48	-1291.76	21.63	5.54	2702.90	3036.62	91.65	93.06	2676.98	2927.23	
22	21:34:34.798	283.20	-1210.80	527.48	-1291.76	21.63	5.54	2702.90	3036.62	91.65	93.06	2676.98	2927.23	
23	21:34:34.891	303.60	-1197.60	524.44	-1298.77	21.63	5.54	2696.38	3026.14	91.66	93.04	2682.99	2923.79	
24	21:34:34.996	303.60	-1197.60	524.44	-1298.77	21.63	5.54	2696.38	3026.14	91.66	93.04	2682.99	2923.79	
25	21:34:35.091	303.60	-1197.60	524.44	-1298.77	21.63	5.54	2696.38	3026.14	91.66	93.04	2682.99	2923.79	
26	21:34:35.207	303.60	-1197.60	524.44	-1298.77	21.63	5.54	2696.38	3026.14	91.66	93.04	2682.99	2923.79	
27	21:34:35.292	303.60	-1197.60	524.44	-1298.77	21.63	5.54	2696.38	3026.14	91.66	93.04	2682.99	2923.79	
28	21:34:35.399	303.60	-1197.60	524.44	-1298.77	21.63	5.54	2696.38	3026.14	91.66	93.04	2682.99	2923.79	
29	21:34:35.496	284.40	-1200.00	524.99	-1290.87	21.57	5.54	2693.01	3045.16	91.68	93.05	2674.41	2929.45	
30	21:34:35.617	284.40	-1200.00	524.99	-1290.87	21.57	5.54	2693.01	3045.16	91.68	93.05	2674.41	2929.45	
31	21:34:35.699	284.40	-1200.00	524.99	-1290.87	21.57	5.54	2693.01	3045.16	91.68	93.05	2674.41	2929.45	
32	21:34:35.803	284.40	-1200.00	524.99	-1290.87	21.57	5.54	2693.01	3045.16	91.68	93.05	2674.41	2929.45	
33	21:34:35.911	284.40	-1200.00	524.99	-1290.87	21.57	5.54	2693.01	3045.16	91.68	93.05	2674.41	2929.45	
34	21:34:35.999	277.20	-1216.80	525.33	-1294.73	21.57	5.54	2673.10	3052.22	91.69	93.06	2679.07	2928.15	
35	21:34:36.117	277.20	-1216.80	525.33	-1294.73	21.57	5.54	2673.10	3052.22	91.69	93.06	2679.07	2928.15	
36	21:34:36.207	277.20	-1216.80	525.33	-1294.73	21.57	5.54	2673.10	3052.22	91.69	93.06	2679.07	2928.15	
37	21:34:36.314	277.20	-1216.80	525.33	-1294.73	21.57	5.54	2673.10	3052.22	91.69	93.06	2679.07	2928.15	
38	21:34:36.405	277.20	-1216.80	525.33	-1294.73	21.57	5.54	2673.10	3052.22	91.69	93.06	2679.07	2928.15	
39	21:34:36.531	277.20	-1216.80	525.33	-1294.73	21.57	5.54	2673.10	3052.22	91.69	93.06	2679.07	2928.15	
40	21:34:36.621	312.00	-1168.80	525.26	-1296.02	21.56	5.54	2710.83	3050.08	91.65	93.05	2677.93	2928.06	
41	21:34:36.721	312.00	-1168.80	525.26	-1296.02	21.56	5.54	2710.83	3050.08	91.65	93.05	2677.93	2928.06	
42	21:34:36.814	312.00	-1168.80	525.26	-1296.02	21.56	5.54	2710.83	3050.08	91.65	93.05	2677.93	2928.06	
43	21:34:36.927	312.00	-1168.80	525.26	-1296.02	21.56	5.54	2710.83	3050.08	91.65	93.05	2677.93	2928.06	
44	21:34:37.018	312.00	-1168.80	525.26	-1296.02	21.56	5.54	2710.83	3050.08	91.65	93.05	2677.93	2928.06	
45	21:34:37.127	312.00	-1168.80	525.26	-1296.02	21.56	5.54	2710.83	3050.08	91.65	93.05	2677.93	2928.06	
46	21:34:37.213	324.00	-1170.00	525.10	-1293.16	21.55	5.54	2713.50	3058.10	91.63	93.03	2679.60	2927.52	
47	21:34:37.329	324.00	-1170.00	525.10	-1293.16	21.55	5.54	2713.50	3058.10	91.63	93.03	2679.60	2927.52	
48	21:34:37.428	324.00	-1170.00	525.10	-1293.16	21.55	5.54	2713.50	3058.10	91.63	93.03	2679.60	2927.52	
49	21:34:37.526	324.00	-1170.00	525.10	-1293.16	21.55	5.54	2713.50	3058.10	91.63	93.03	2679.60	2927.52	
50	21:34:37.665	324.00	-1170.00	525.10	-1293.16	21.55	5.54	2713.50	3058.10	91.63	93.03	2679.60	2927.52	
51	21:34:37.757	278.40	-1197.60	527.84	-1289.20	21.52	5.54	2696.45	3044.11	91.66	93.06	2677.73	2932.54	
52	21:34:37.838	278.40	-1197.60	527.84	-1289.20	21.52	5.54	2696.45	3044.11	91.66	93.06	2677.73	2932.54	
53	21:34:37.927	278.40	-1197.60	527.84	-1289.20	21.52	5.54	2696.45	3044.11	91.66	93.06	2677.73	2932.54	
54	21:34:38.048	278.40	-1197.60	527.84	-1289.20	21.52	5.54	2696.45	3044.11	91.66	93.06	2677.73	2932.54	
55	21:34:38.126	278.40	-1197.60	527.84	-1289.20	21.52	5.54	2696.45	3044.11	91.66	93.06	2677.73	2932.54	
56	21:34:38.237	278.40	-1197.60	527.84	-1289.20	21.52	5.54	2696.45	3044.11	91.66	93.06	2677.73	2932.54	
57	21:34:38.331	310.80	-1215.60	526.44	-1298.06	21.57	5.54	2712.58	3057.43	91.65	93.02	2675.86	2926.45	
58	21:34:38.457	310.80	-1215.60	526.44	-1298.06	21.57	5.54	2712.58	3057.43	91.65	93.02	2675.86	2926.45	
59	21:34:38.541	310.80	-1215.60	526.44	-1298.06	21.57	5.54	2712.58	3057.43	91.65	93.02	2675.86	2926.45	
60	21:34:38.638	310.80	-1215.60	526.44	-1298.06	21.57	5.54	2712.58	3057.43	91.65	93.02	2675.86	2926.45	
61	21:34:38.743	310.80	-1215.60	526.44	-1298.06	21.57	5.54	2712.58	3057.43	91.65	93.02	2675.86	2926.45	
62	21:34:38.838	303.60	-1189.20	528.85	-1298.19	21.56	5.54	2711.34	3044.23	91.67	93.08	2675.88	2924.29	
63	21:34:38.937	303.60	-1189.20	528.85	-1298.19	21.56	5.54	2711.34	3044.23	91.67	93.08	2675.88	2924.29	
64	21:34:39.051	303.60	-1189.20	528.85	-1298.19	21.56	5.54	2711.34	3044.23	91.67	93.08	2675.88	2924.29	
65	21:34:39.139	303.60	-1189.20	528.85	-1298.19	21.56	5.54	2711.34	3044.23	91.67	93.08	2675.88	2924.29	
66	21:34:39.264	303.60	-1189.20	528.85	-1298.19	21.56	5.54	2711.34	3044.23	91.67	93.08	2675.88	2924.29	
67	21:34:39.358	273.60	-1214.40	527.58	-1298.75	21.52	5.54	2706.31	3049.03	91.63	93.05	2675.43	2926.57	
68	21:34:39.447	273.60	-1214.40	527.58	-1298.75	21.52	5.54	2706.31	3049.03	91.63	93.05	2675.43	2926.57	
69	21:34:39.560	273.60	-1214.40	527.58	-1298.75	21.52	5.54	2706.31	3049.03	91.63	93.05	2675.43	2926.57	
70	21:34:39.665	273.60	-1214.40	527.58	-1298.75	21.52	5.54	2706.31	3049.03	91.63	93.05	2675.43	2926.57	
71	21:34:39.747	273.60	-1214.40	527.58	-1298.75	21.52	5.54	2706.31	3049.03	91.63	93.05	2675.43	2926.57	
72	21:34:39.845	273.60	-1214.40	527.58	-1298.75	21.52	5.54	2706.31	3049.03	91.63	93.05	2675.43	2926.57	
73	21:34:39.945	295.20	-1162.80	527.53	-1294.62	21.53	5.54	2685.61	3055.85	91.67	93.02	2672.24	2931.82	
74	21:34:40.049	295.20	-1162.80	527.53	-1294.62	21.53	5.54	2685.61	3055.85	91.67	93.02	2672.24	2931.82	
75	21:34:40.158	295.20	-1162.80	527.53	-1294.62	21.53	5.54	2685.61	3055.85	91.67	93.02	2672.24	2931.82	
76	21:34:40.256	295.20	-1162.80	527.53	-1294.62	21.53	5.54	2685.61	3055.85	91.67	93.02	2672.24	2931.82	
77	21:34:40.358	295.20	-1162.80	527.53	-1294.62	21.53	5.54	2685.61	3055.85	91.67	93.02	2672.24	2931.82	
78	21:34:40.458	318.00	-1183.20	527.84	-1292.55	21.56	5.54	2693.06	3053.72	91.64	93.03	2673.05	2927.87	
79	21:34:40.578	318.00	-1183.20	527.84	-1292.55	21.56	5.54	2693.06	3053.72	91.64	93.03	2673.05	2927.87	
