pos_mm,BeamWidth_X_mean_um,BeamWidth_X_std_um,BeamWidth_X_N,BeamWidth_Y_mean_um,BeamWidth_Y_std_um,BeamWidth_Y_N,GaussDiam_X_mean_um,GaussDiam_X_std_um,GaussDiam_X_N,GaussDiam_Y_mean_um,GaussDiam_Y_std_um,GaussDiam_Y_N
40.0,2700.8390547263675,11.937015230030937,201,3048.1069651741295,9.404918353913612,201,2678.155870646766,3.2246829864630255,201,2927.5554726368155,3.099899659746676,201
50.0,2720.9852,14.454148748376717,200,3076.4307499999995,11.382803036260965,200,2698.62305,2.246655179366629,200,2965.63935,2.997009074806428,200
60.0,2742.4312,12.328676118471543,200,3100.0645,10.406613511314292,200,2718.97145,3.0432000806972512,200,2991.59995,3.4682829223764506,200
70.0,2765.0873619631902,10.749241881290788,163,3116.7096932515333,12.417425849190307,163,2735.486993865031,3.4396524255517904,163,3008.8002453987733,4.592258105475873,163
80.0,2779.852425742574,11.6912075461645,202,3147.9037128712876,12.170927335895769,202,2755.8946039603957,3.2146124843380113,202,3035.5291089108905,3.944512429500889,202
90.0,2794.1895999999997,13.273268819918846,200,3168.6595999999995,9.81928298971777,200,2768.9951,3.5175019673700767,200,3056.3055,4.945035655906945,200
100.0,2812.838457711443,12.989315690576333,201,3188.031940298508,12.651745520536625,201,2788.365671641791,3.6564706578395945,201,3075.32631840796,4.061044124127358,201
