Thorlabs Beam
Version: 9.1.5787.560
Date yyyy/MM/dd	2025/12/25
Time H:mm:ss	21:32:52

Device: 	BP209-IR/M
S/N: 	M00567450

Wavelength	[nm]	900

Measurement	Time [hh:mm:ss:zzz]	Peak Position X[É m]	Peak Position Y[É m]	Centroid Position X[É m]	Centroid Position Y[É m]	AD Saturation[%]	Total Power[dBm]	Beam Width Clip X[É m]	Beam Width Clip Y[É m]	Gaussian Intensity X[%]	Gaussian Intensity Y[%]	Gaussian Diameter X[É m]	Gaussian Diameter Y[É m]	
1	21:32:52.440	-115.20	-847.20	133.66	-960.15	21.30	5.54	2731.12	3093.22	91.68	93.00	2724.18	2987.60	
2	21:32:52.546	-115.20	-847.20	133.66	-960.15	21.30	5.54	2731.12	3093.22	91.68	93.00	2724.18	2987.60	
3	21:32:52.681	-115.20	-847.20	133.66	-960.15	21.30	5.54	2731.12	3093.22	91.68	93.00	2724.18	2987.60	
4	21:32:52.771	-115.20	-847.20	133.66	-960.15	21.30	5.54	2731.12	3093.22	91.68	93.00	2724.18	2987.60	
5	21:32:52.867	-112.80	-838.80	132.90	-960.54	21.26	5.54	2743.77	3107.93	91.76	92.96	2716.13	2988.61	
6	21:32:52.946	-112.80	-838.80	132.90	-960.54	21.26	5.54	2743.77	3107.93	91.76	92.96	2716.13	2988.61	
7	21:32:53.042	-112.80	-838.80	132.90	-960.54	21.26	5.54	2743.77	3107.93	91.76	92.96	2716.13	2988.61	
8	21:32:53.155	-112.80	-838.80	132.90	-960.54	21.26	5.54	2743.77	3107.93	91.76	92.96	2716.13	2988.61	
9	21:32:53.245	-112.80	-838.80	132.90	-960.54	21.26	5.54	2743.77	3107.93	91.76	92.96	2716.13	2988.61	
10	21:32:53.348	-112.80	-838.80	132.90	-960.54	21.26	5.54	2743.77	3107.93	91.76	92.96	2716.13	2988.61	
11	21:32:53.448	-68.40	-864.00	132.61	-955.05	21.28	5.54	2754.23	3087.33	91.75	92.99	2715.87	2994.15	
12	21:32:53.572	-68.40	-864.00	132.61	-955.05	21.28	5.54	2754.23	3087.33	91.75	92.99	2715.87	2994.15	
13	21:32:53.656	-68.40	-864.00	132.61	-955.05	21.28	5.54	2754.23	3087.33	91.75	92.99	2715.87	2994.15	
14	21:32:53.750	-68.40	-864.00	132.61	-955.05	21.28	5.54	2754.23	3087.33	91.75	92.99	2715.87	2994.15	
15	21:32:53.893	-68.40	-864.00	132.61	-955.05	21.28	5.54	2754.23	3087.33	91.75	92.99	2715.87	2994.15	
16	21:32:53.984	-67.20	-820.80	132.76	-960.80	21.30	5.54	2739.01	3091.97	91.76	92.98	2711.47	2988.54	
17	21:32:54.068	-67.20	-820.80	132.76	-960.80	21.30	5.54	2739.01	3091.97	91.76	92.98	2711.47	2988.54	
18	21:32:54.160	-67.20	-820.80	132.76	-960.80	21.30	5.54	2739.01	3091.97	91.76	92.98	2711.47	2988.54	
19	21:32:54.271	-67.20	-820.80	132.76	-960.80	21.30	5.54	2739.01	3091.97	91.76	92.98	2711.47	2988.54	
20	21:32:54.390	-67.20	-820.80	132.76	-960.80	21.30	5.54	2739.01	3091.97	91.76	92.98	2711.47	2988.54	
21	21:32:54.477	-67.20	-820.80	132.76	-960.80	21.30	5.54	2739.01	3091.97	91.76	92.98	2711.47	2988.54	
22	21:32:54.565	-73.20	-867.60	132.03	-957.98	21.27	5.54	2756.39	3100.43	91.73	93.01	2715.62	2991.74	
23	21:32:54.670	-73.20	-867.60	132.03	-957.98	21.27	5.54	2756.39	3100.43	91.73	93.01	2715.62	2991.74	
24	21:32:54.776	-73.20	-867.60	132.03	-957.98	21.27	5.54	2756.39	3100.43	91.73	93.01	2715.62	2991.74	
25	21:32:54.870	-73.20	-867.60	132.03	-957.98	21.27	5.54	2756.39	3100.43	91.73	93.01	2715.62	2991.74	
26	21:32:54.968	-73.20	-867.60	132.03	-957.98	21.27	5.54	2756.39	3100.43	91.73	93.01	2715.62	2991.74	
27	21:32:55.102	-73.20	-867.60	132.03	-957.98	21.27	5.54	2756.39	3100.43	91.73	93.01	2715.62	2991.74	
28	21:32:55.196	-74.40	-840.00	131.66	-963.88	21.27	5.54	2757.25	3075.49	91.70	92.99	2721.67	2988.09	
29	21:32:55.280	-74.40	-840.00	131.66	-963.88	21.27	5.54	2757.25	3075.49	91.70	92.99	2721.67	2988.09	
30	21:32:55.385	-74.40	-840.00	131.66	-963.88	21.27	5.54	2757.25	3075.49	91.70	92.99	2721.67	2988.09	
31	21:32:55.482	-74.40	-840.00	131.66	-963.88	21.27	5.54	2757.25	3075.49	91.70	92.99	2721.67	2988.09	
32	21:32:55.591	-74.40	-840.00	131.66	-963.88	21.27	5.54	2757.25	3075.49	91.70	92.99	2721.67	2988.09	
33	21:32:55.682	-74.40	-840.00	131.66	-963.88	21.27	5.54	2757.25	3075.49	91.70	92.99	2721.67	2988.09	
34	21:32:55.782	-99.60	-846.00	131.83	-962.25	21.24	5.54	2738.89	3081.41	91.71	93.01	2720.23	2987.00	
35	21:32:55.915	-99.60	-846.00	131.83	-962.25	21.24	5.54	2738.89	3081.41	91.71	93.01	2720.23	2987.00	
36	21:32:55.999	-99.60	-846.00	131.83	-962.25	21.24	5.54	2738.89	3081.41	91.71	93.01	2720.23	2987.00	
37	21:32:56.088	-99.60	-846.00	131.83	-962.25	21.24	5.54	2738.89	3081.41	91.71	93.01	2720.23	2987.00	
38	21:32:56.188	-99.60	-846.00	131.83	-962.25	21.24	5.54	2738.89	3081.41	91.71	93.01	2720.23	2987.00	
39	21:32:56.291	-82.80	-838.80	132.39	-955.25	21.29	5.54	2745.34	3099.91	91.73	92.96	2717.78	2990.50	
40	21:32:56.394	-82.80	-838.80	132.39	-955.25	21.29	5.54	2745.34	3099.91	91.73	92.96	2717.78	2990.50	
41	21:32:56.497	-82.80	-838.80	132.39	-955.25	21.29	5.54	2745.34	3099.91	91.73	92.96	2717.78	2990.50	
42	21:32:56.601	-82.80	-838.80	132.39	-955.25	21.29	5.54	2745.34	3099.91	91.73	92.96	2717.78	2990.50	
43	21:32:56.699	-82.80	-838.80	132.39	-955.25	21.29	5.54	2745.34	3099.91	91.73	92.96	2717.78	2990.50	
44	21:32:56.798	-81.60	-870.00	132.86	-962.45	21.21	5.54	2726.18	3104.68	91.72	93.00	2721.77	2988.15	
45	21:32:56.928	-81.60	-870.00	132.86	-962.45	21.21	5.54	2726.18	3104.68	91.72	93.00	2721.77	2988.15	
46	21:32:57.009	-81.60	-870.00	132.86	-962.45	21.21	5.54	2726.18	3104.68	91.72	93.00	2721.77	2988.15	
47	21:32:57.118	-81.60	-870.00	132.86	-962.45	21.21	5.54	2726.18	3104.68	91.72	93.00	2721.77	2988.15	
48	21:32:57.197	-81.60	-870.00	132.86	-962.45	21.21	5.54	2726.18	3104.68	91.72	93.00	2721.77	2988.15	
49	21:32:57.319	-81.60	-870.00	132.86	-962.45	21.21	5.54	2726.18	3104.68	91.72	93.00	2721.77	2988.15	
50	21:32:57.406	-129.60	-843.60	132.28	-961.44	21.25	5.54	2737.80	3108.33	91.73	92.97	2713.61	2989.20	
