Thorlabs Beam
Version: 9.1.5787.560
Date yyyy/MM/dd	2025/12/25
Time H:mm:ss	21:29:02

Device: 	BP209-IR/M
S/N: 	M00567450

Wavelength	[nm]	900

Measurement	Time [hh:mm:ss:zzz]	Peak Position X[É m]	Peak Position Y[É m]	Centroid Position X[É m]	Centroid Position Y[É m]	AD Saturation[%]	Total Power[dBm]	Beam Width Clip X[É m]	Beam Width Clip Y[É m]	Gaussian Intensity X[%]	Gaussian Intensity Y[%]	Gaussian Diameter X[É m]	Gaussian Diameter Y[É m]	
1	21:29:02.061	-505.20	-408.00	-268.68	-508.69	20.51	5.54	2824.56	3191.32	91.49	92.65	2785.69	3069.19	
2	21:29:02.146	-505.20	-408.00	-268.68	-508.69	20.51	5.54	2824.56	3191.32	91.49	92.65	2785.69	3069.19	
3	21:29:02.251	-505.20	-408.00	-268.68	-508.69	20.51	5.54	2824.56	3191.32	91.49	92.65	2785.69	3069.19	
4	21:29:02.348	-505.20	-408.00	-268.68	-508.69	20.51	5.54	2824.56	3191.32	91.49	92.65	2785.69	3069.19	
5	21:29:02.458	-472.80	-396.00	-268.98	-511.49	20.50	5.54	2810.49	3179.49	91.51	92.69	2788.62	3066.37	
6	21:29:02.548	-472.80	-396.00	-268.98	-511.49	20.50	5.54	2810.49	3179.49	91.51	92.69	2788.62	3066.37	
7	21:29:02.679	-472.80	-396.00	-268.98	-511.49	20.50	5.54	2810.49	3179.49	91.51	92.69	2788.62	3066.37	
8	21:29:02.760	-472.80	-396.00	-268.98	-511.49	20.50	5.54	2810.49	3179.49	91.51	92.69	2788.62	3066.37	
9	21:29:02.869	-472.80	-396.00	-268.98	-511.49	20.50	5.54	2810.49	3179.49	91.51	92.69	2788.62	3066.37	
10	21:29:02.980	-517.20	-403.20	-270.46	-511.29	20.50	5.54	2791.32	3194.49	91.49	92.67	2783.12	3065.75	
11	21:29:03.063	-517.20	-403.20	-270.46	-511.29	20.50	5.54	2791.32	3194.49	91.49	92.67	2783.12	3065.75	
12	21:29:03.151	-517.20	-403.20	-270.46	-511.29	20.50	5.54	2791.32	3194.49	91.49	92.67	2783.12	3065.75	
13	21:29:03.267	-517.20	-403.20	-270.46	-511.29	20.50	5.54	2791.32	3194.49	91.49	92.67	2783.12	3065.75	
14	21:29:03.357	-517.20	-403.20	-270.46	-511.29	20.50	5.54	2791.32	3194.49	91.49	92.67	2783.12	3065.75	
15	21:29:03.460	-517.20	-403.20	-270.46	-511.29	20.50	5.54	2791.32	3194.49	91.49	92.67	2783.12	3065.75	
16	21:29:03.561	-501.60	-376.80	-268.09	-509.54	20.52	5.54	2823.66	3164.35	91.54	92.69	2782.03	3069.43	
17	21:29:03.662	-501.60	-376.80	-268.09	-509.54	20.52	5.54	2823.66	3164.35	91.54	92.69	2782.03	3069.43	
18	21:29:03.768	-501.60	-376.80	-268.09	-509.54	20.52	5.54	2823.66	3164.35	91.54	92.69	2782.03	3069.43	
19	21:29:03.882	-501.60	-376.80	-268.09	-509.54	20.52	5.54	2823.66	3164.35	91.54	92.69	2782.03	3069.43	
20	21:29:03.963	-501.60	-376.80	-268.09	-509.54	20.52	5.54	2823.66	3164.35	91.54	92.69	2782.03	3069.43	
21	21:29:04.065	-490.80	-373.20	-268.52	-505.23	20.50	5.54	2815.12	3191.94	91.45	92.65	2790.57	3074.54	
22	21:29:04.221	-490.80	-373.20	-268.52	-505.23	20.50	5.54	2815.12	3191.94	91.45	92.65	2790.57	3074.54	
23	21:29:04.332	-490.80	-373.20	-268.52	-505.23	20.50	5.54	2815.12	3191.94	91.45	92.65	2790.57	3074.54	
24	21:29:04.419	-490.80	-373.20	-268.52	-505.23	20.50	5.54	2815.12	3191.94	91.45	92.65	2790.57	3074.54	
25	21:29:04.501	-490.80	-373.20	-268.52	-505.23	20.50	5.54	2815.12	3191.94	91.45	92.65	2790.57	3074.54	
26	21:29:04.595	-512.40	-378.00	-268.53	-506.39	20.47	5.54	2833.10	3199.22	91.51	92.65	2781.62	3076.29	
27	21:29:04.680	-512.40	-378.00	-268.53	-506.39	20.47	5.54	2833.10	3199.22	91.51	92.65	2781.62	3076.29	
28	21:29:04.766	-512.40	-378.00	-268.53	-506.39	20.47	5.54	2833.10	3199.22	91.51	92.65	2781.62	3076.29	
29	21:29:04.874	-512.40	-378.00	-268.53	-506.39	20.47	5.54	2833.10	3199.22	91.51	92.65	2781.62	3076.29	
30	21:29:04.996	-512.40	-378.00	-268.53	-506.39	20.47	5.54	2833.10	3199.22	91.51	92.65	2781.62	3076.29	
31	21:29:05.069	-512.40	-378.00	-268.53	-506.39	20.47	5.54	2833.10	3199.22	91.51	92.65	2781.62	3076.29	
32	21:29:05.171	-501.60	-370.80	-268.54	-507.89	20.44	5.54	2825.58	3197.78	91.46	92.67	2791.31	3074.23	
33	21:29:05.274	-501.60	-370.80	-268.54	-507.89	20.44	5.54	2825.58	3197.78	91.46	92.67	2791.31	3074.23	
34	21:29:05.378	-501.60	-370.80	-268.54	-507.89	20.44	5.54	2825.58	3197.78	91.46	92.67	2791.31	3074.23	
