Thorlabs Beam
Version: 9.1.5787.560
Date yyyy/MM/dd	2025/12/25
Time H:mm:ss	21:30:16

Device: 	BP209-IR/M
S/N: 	M00567450

Wavelength	[nm]	900

Measurement	Time [hh:mm:ss:zzz]	Peak Position X[É m]	Peak Position Y[É m]	Centroid Position X[É m]	Centroid Position Y[É m]	AD Saturation[%]	Total Power[dBm]	Beam Width Clip X[É m]	Beam Width Clip Y[É m]	Gaussian Intensity X[%]	Gaussian Intensity Y[%]	Gaussian Diameter X[É m]	Gaussian Diameter Y[É m]	
1	21:30:16.579	-502.80	-487.20	-235.25	-635.84	20.68	5.54	2794.59	3169.31	91.55	92.68	2765.35	3052.43	
2	21:30:16.687	-502.80	-487.20	-235.25	-635.84	20.68	5.54	2794.59	3169.31	91.55	92.68	2765.35	3052.43	
3	21:30:16.825	-502.80	-487.20	-235.25	-635.84	20.68	5.54	2794.59	3169.31	91.55	92.68	2765.35	3052.43	
4	21:30:16.914	-465.60	-504.00	-233.53	-631.36	20.68	5.54	2779.95	3163.62	91.50	92.69	2771.19	3058.50	
5	21:30:16.997	-465.60	-504.00	-233.53	-631.36	20.68	5.54	2779.95	3163.62	91.50	92.69	2771.19	3058.50	
6	21:30:17.080	-465.60	-504.00	-233.53	-631.36	20.68	5.54	2779.95	3163.62	91.50	92.69	2771.19	3058.50	
7	21:30:17.188	-465.60	-504.00	-233.53	-631.36	20.68	5.54	2779.95	3163.62	91.50	92.69	2771.19	3058.50	
8	21:30:17.301	-465.60	-504.00	-233.53	-631.36	20.68	5.54	2779.95	3163.62	91.50	92.69	2771.19	3058.50	
9	21:30:17.381	-465.60	-504.00	-233.53	-631.36	20.68	5.54	2779.95	3163.62	91.50	92.69	2771.19	3058.50	
10	21:30:17.489	-459.60	-477.60	-231.88	-633.86	20.67	5.54	2782.24	3161.19	91.54	92.71	2769.29	3054.62	
11	21:30:17.592	-459.60	-477.60	-231.88	-633.86	20.67	5.54	2782.24	3161.19	91.54	92.71	2769.29	3054.62	
12	21:30:17.688	-459.60	-477.60	-231.88	-633.86	20.67	5.54	2782.24	3161.19	91.54	92.71	2769.29	3054.62	
13	21:30:17.801	-459.60	-477.60	-231.88	-633.86	20.67	5.54	2782.24	3161.19	91.54	92.71	2769.29	3054.62	
14	21:30:17.893	-459.60	-477.60	-231.88	-633.86	20.67	5.54	2782.24	3161.19	91.54	92.71	2769.29	3054.62	
15	21:30:17.991	-483.60	-506.40	-234.14	-631.40	20.68	5.54	2793.75	3153.75	91.49	92.69	2770.55	3057.50	
16	21:30:18.138	-483.60	-506.40	-234.14	-631.40	20.68	5.54	2793.75	3153.75	91.49	92.69	2770.55	3057.50	
17	21:30:18.221	-483.60	-506.40	-234.14	-631.40	20.68	5.54	2793.75	3153.75	91.49	92.69	2770.55	3057.50	
18	21:30:18.295	-483.60	-506.40	-234.14	-631.40	20.68	5.54	2793.75	3153.75	91.49	92.69	2770.55	3057.50	
19	21:30:18.392	-483.60	-506.40	-234.14	-631.40	20.68	5.54	2793.75	3153.75	91.49	92.69	2770.55	3057.50	
20	21:30:18.493	-475.20	-505.20	-233.39	-625.97	20.67	5.54	2798.83	3175.64	91.56	92.66	2766.36	3064.14	
21	21:30:18.606	-475.20	-505.20	-233.39	-625.97	20.67	5.54	2798.83	3175.64	91.56	92.66	2766.36	3064.14	
22	21:30:18.697	-475.20	-505.20	-233.39	-625.97	20.67	5.54	2798.83	3175.64	91.56	92.66	2766.36	3064.14	
23	21:30:18.827	-475.20	-505.20	-233.39	-625.97	20.67	5.54	2798.83	3175.64	91.56	92.66	2766.36	3064.14	
24	21:30:18.908	-475.20	-505.20	-233.39	-625.97	20.67	5.54	2798.83	3175.64	91.56	92.66	2766.36	3064.14	
25	21:30:18.997	-470.40	-502.80	-232.77	-631.21	20.66	5.54	2808.82	3170.62	91.56	92.73	2764.52	3060.06	
26	21:30:19.104	-470.40	-502.80	-232.77	-631.21	20.66	5.54	2808.82	3170.62	91.56	92.73	2764.52	3060.06	
27	21:30:19.209	-470.40	-502.80	-232.77	-631.21	20.66	5.54	2808.82	3170.62	91.56	92.73	2764.52	3060.06	
28	21:30:19.302	-470.40	-502.80	-232.77	-631.21	20.66	5.54	2808.82	3170.62	91.56	92.73	2764.52	3060.06	
29	21:30:19.409	-470.40	-502.80	-232.77	-631.21	20.66	5.54	2808.82	3170.62	91.56	92.73	2764.52	3060.06	
30	21:30:19.525	-470.40	-502.80	-232.77	-631.21	20.66	5.54	2808.82	3170.62	91.56	92.73	2764.52	3060.06	
31	21:30:19.614	-490.80	-538.80	-233.60	-633.01	20.66	5.54	2749.22	3171.82	91.57	92.72	2764.33	3056.98	
32	21:30:19.709	-490.80	-538.80	-233.60	-633.01	20.66	5.54	2749.22	3171.82	91.57	92.72	2764.33	3056.98	
33	21:30:19.823	-490.80	-538.80	-233.60	-633.01	20.66	5.54	2749.22	3171.82	91.57	92.72	2764.33	3056.98	
34	21:30:19.904	-490.80	-538.80	-233.60	-633.01	20.66	5.54	2749.22	3171.82	91.57	92.72	2764.33	3056.98	
35	21:30:20.016	-490.80	-538.80	-233.60	-633.01	20.66	5.54	2749.22	3171.82	91.57	92.72	2764.33	3056.98	
36	21:30:20.110	-490.80	-538.80	-233.60	-633.01	20.66	5.54	2749.22	3171.82	91.57	92.72	2764.33	3056.98	
37	21:30:20.208	-487.20	-507.60	-233.84	-626.81	20.71	5.54	2788.62	3159.07	91.56	92.72	2770.52	3060.06	
38	21:30:20.316	-487.20	-507.60	-233.84	-626.81	20.71	5.54	2788.62	3159.07	91.56	92.72	2770.52	3060.06	
39	21:30:20.412	-487.20	-507.60	-233.84	-626.81	20.71	5.54	2788.62	3159.07	91.56	92.72	2770.52	3060.06	
40	21:30:20.517	-487.20	-507.60	-233.84	-626.81	20.71	5.54	2788.62	3159.07	91.56	92.72	2770.52	3060.06	
41	21:30:20.620	-487.20	-507.60	-233.84	-626.81	20.71	5.54	2788.62	3159.07	91.56	92.72	2770.52	3060.06	
42	21:30:20.708	-459.60	-524.40	-234.12	-629.53	20.69	5.54	2795.32	3164.01	91.55	92.67	2763.15	3058.85	
43	21:30:20.858	-459.60	-524.40	-234.12	-629.53	20.69	5.54	2795.32	3164.01	91.55	92.67	2763.15	3058.85	
44	21:30:20.947	-459.60	-524.40	-234.12	-629.53	20.69	5.54	2795.32	3164.01	91.55	92.67	2763.15	3058.85	
45	21:30:21.021	-459.60	-524.40	-234.12	-629.53	20.69	5.54	2795.32	3164.01	91.55	92.67	2763.15	3058.85	
46	21:30:21.141	-459.60	-524.40	-234.12	-629.53	20.69	5.54	2795.32	3164.01	91.55	92.67	2763.15	3058.85	
47	21:30:21.234	-444.00	-523.20	-232.61	-623.31	20.72	5.54	2785.94	3185.59	91.55	92.70	2772.57	3065.10	
48	21:30:21.322	-444.00	-523.20	-232.61	-623.31	20.72	5.54	2785.94	3185.59	91.55	92.70	2772.57	3065.10	
49	21:30:21.433	-444.00	-523.20	-232.61	-623.31	20.72	5.54	2785.94	3185.59	91.55	92.70	2772.57	3065.10	
50	21:30:21.522	-444.00	-523.20	-232.61	-623.31	20.72	5.54	2785.94	3185.59	91.55	92.70	2772.57	3065.10	
51	21:30:21.633	-444.00	-523.20	-232.61	-623.31	20.72	5.54	2785.94	3185.59	91.55	92.70	2772.57	3065.10	
52	21:30:21.728	-444.00	-523.20	-232.61	-623.31	20.72	5.54	2785.94	3185.59	91.55	92.70	2772.57	3065.10	
53	21:30:21.821	-465.60	-482.40	-235.19	-633.95	20.74	5.54	2791.77	3180.02	91.57	92.69	2768.20	3052.88	
54	21:30:21.926	-465.60	-482.40	-235.19	-633.95	20.74	5.54	2791.77	3180.02	91.57	92.69	2768.20	3052.88	
55	21:30:22.050	-465.60	-482.40	-235.19	-633.95	20.74	5.54	2791.77	3180.02	91.57	92.69	2768.20	3052.88	
56	21:30:22.132	-465.60	-482.40	-235.19	-633.95	20.74	5.54	2791.77	3180.02	91.57	92.69	2768.20	3052.88	
57	21:30:22.231	-465.60	-482.40	-235.19	-633.95	20.74	5.54	2791.77	3180.02	91.57	92.69	2768.20	3052.88	
58	21:30:22.332	-463.20	-510.00	-233.52	-625.92	20.75	5.54	2808.03	3165.38	91.57	92.71	2765.43	3065.34	
