metric,axis,slope_um_per_mm,div_full_mrad,div_half_mrad,r2
BeamWidth,X,1.856529409634997,1.856529409634997,0.9282647048174985,0.9939375101123038
BeamWidth,Y,2.328827993730076,2.328827993730076,1.164413996865038,0.9961140637871329
GaussDiam,X,1.8153452033766566,1.8153452033766566,0.9076726016883283,0.9973562351231745
GaussDiam,Y,2.3877642722297168,2.3877642722297168,1.1938821361148584,0.9881003938810915
