structure,pump_intensity_fwhm_nm,purity
periodic,1.3999999999999995,0.7606030716535289
periodic,1.4099999999999995,0.7630954369776514
periodic,1.4199999999999995,0.7655482916750785
periodic,1.4299999999999995,0.767961932733051
periodic,1.4399999999999995,0.7703366599657273
periodic,1.4499999999999995,0.7726727758570535
periodic,1.4599999999999995,0.7749705854053476
periodic,1.4699999999999995,0.7772303959696569
periodic,1.4799999999999995,0.7794525171180049
periodic,1.4899999999999995,0.7816372604775845
periodic,1.4999999999999996,0.7837849395869537
periodic,1.5099999999999996,0.7858958697503421
periodic,1.5199999999999996,0.7879703678940967
periodic,1.5299999999999996,0.7900087524253708
periodic,1.5399999999999996,0.7920113430930543
periodic,1.5499999999999996,0.7939784608510837
periodic,1.5599999999999996,0.7959104277241075
periodic,1.5699999999999996,0.7978075666756068
periodic,1.5799999999999996,0.7996702014784967
periodic,1.5899999999999996,0.8014986565882485
periodic,1.5999999999999996,0.8032932570185817
periodic,1.6099999999999997,0.8050543282197603
periodic,1.6199999999999997,0.8067821959595142
periodic,1.6299999999999997,0.8084771862066273
periodic,1.6399999999999997,0.8101396250172029
periodic,1.6499999999999997,0.81176983842365
periodic,1.6599999999999997,0.8133681523263756
periodic,1.6699999999999997,0.8149348923882412
periodic,1.6799999999999997,0.8164703839317415
periodic,1.6899999999999997,0.8179749518389607
periodic,1.6999999999999997,0.8194489204542971
periodic,1.7099999999999997,0.8208926134899301
periodic,1.7199999999999998,0.822306353934079
periodic,1.7299999999999998,0.8236904639619997
periodic,1.7399999999999998,0.8250452648497508
periodic,1.7499999999999998,0.8263710768906826
periodic,1.7599999999999998,0.8276682193146827
periodic,1.7699999999999998,0.8289370102101105
periodic,1.7799999999999998,0.8301777664484563
periodic,1.7899999999999998,0.8313908036116421
periodic,1.7999999999999998,0.8325764359220096
periodic,1.8099999999999998,0.8337349761749222
periodic,1.8199999999999998,0.8348667356739681
periodic,1.8299999999999998,0.8359720241687489
periodic,1.8399999999999999,0.8370511497951929
periodic,1.8499999999999999,0.8381044190184012
periodic,1.8599999999999999,0.8391321365779523
periodic,1.8699999999999999,0.8401346054356482
periodic,1.88,0.8411121267256804
periodic,1.89,0.8420649997071439
periodic,1.9,0.8429935217188737
periodic,1.91,0.8438979881365827
periodic,1.92,0.8447786923322184
periodic,1.93,0.8456359256355431
periodic,1.94,0.846469977297843
periodic,1.95,0.8472811344577599
periodic,1.96,0.8480696821091964
periodic,1.97,0.8488359030712147
periodic,1.98,0.8495800779599321
periodic,1.99,0.8503024851623286
periodic,2.0,0.8510034008119335
periodic,2.01,0.8516830987663535
periodic,2.02,0.8523418505865641
periodic,2.0300000000000002,0.8529799255179598
periodic,2.04,0.8535975904730745
periodic,2.05,0.8541951100159582
periodic,2.06,0.8547727463481312
periodic,2.0700000000000003,0.8553307592960985
periodic,2.08,0.8558694063003615
periodic,2.09,0.8563889424058754
periodic,2.1,0.856889620253924
periodic,2.1100000000000003,0.8573716900753439
periodic,2.12,0.8578353996850839
periodic,2.13,0.8582809944780107
periodic,2.14,0.8587087174259683
periodic,2.1500000000000004,0.8591188090759965
periodic,2.16,0.8595115075497045
periodic,2.17,0.8598870485437472
periodic,2.18,0.8602456653313398
periodic,2.1900000000000004,0.8605875887648063
periodic,2.2,0.8609130472790935
periodic,2.21,0.8612222668962275
periodic,2.22,0.8615154712306504
periodic,2.2300000000000004,0.8617928814954492
periodic,2.24,0.8620547165093719
periodic,2.25,0.8623011927046544
periodic,2.2600000000000002,0.8625325241355813
periodic,2.2700000000000005,0.862748922487784
periodic,2.2800000000000002,0.8629505970881859
periodic,2.29,0.8631377549156459
periodic,2.3000000000000003,0.8633106006121607
periodic,2.3100000000000005,0.8634693364947205
periodic,2.3200000000000003,0.8636141625676462
