label,N,mean,varN,varN1,stdN,stdN1,ymin,ymax
BG00_L,193,0.0001005440414507772,5.771910655319606e-10,5.80197268998273e-10,2.4024801050829966e-05,2.408728438405361e-05,4.399999999999999e-05,0.00017500000000000003
BG01_L,193,9.956994818652849e-05,5.710741227952429e-10,5.740484671848014e-10,2.3897157211585708e-05,2.3959308570674602e-05,4.6e-05,0.000181
BG10_L,193,0.00011300518134715026,7.574144809256624e-10,7.61359348013817e-10,2.752116423637747e-05,2.7592740857222158e-05,5.2999999999999994e-05,0.00018999999999999998
RAW4_L (all),189,0.00016925396825396828,4.401067775258252e-09,4.42447771023303e-09,6.634054397770833e-05,6.65167475921142e-05,3.599999999999998e-05,0.00040899999999999997
"RAW4_L (λ≥1571.800 nm, thr=0.002)",184,0.00016390217391304348,3.41716434310019e-09,3.4358373722974587e-09,5.8456516686338656e-05,5.8616016346195504e-05,3.599999999999998e-05,0.000373
